'000300'	沪深300 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	2236.97	2258.89	2220.80	2222.22	55987040.00	54399492096	2246.31	2275.183	2306.927	2353.038	2367.823	2356.369
2014/01/10	2216.52	2224.49	2200.22	2204.85	54169292.00	47572307968	2229.124	2269.135	2296.668	2345.216	2364.348	2355.427
2014/01/13	2207.00	2222.07	2183.60	2193.68	50122772.00	46123003904	2220.132	2258.155	2286.02	2337.04	2360.475	2354.684
2014/01/14	2192.84	2214.12	2179.91	2212.85	54049948.00	46785101824	2215.102	2249.494	2278.267	2330.176	2356.167	2354.413
2014/01/15	2210.02	2215.90	2193.80	2208.94	48962396.00	45755916288	2208.508	2237.385	2270.895	2322.381	2352.218	2354.567
2014/01/16	2209.45	2227.26	2201.56	2211.84	52298904.00	49842782208	2206.432	2226.371	2263.625	2313.604	2348.774	2354.648
2014/01/17	2203.82	2205.97	2175.88	2178.49	50273156.00	46268157952	2201.16	2215.142	2255.929	2303.947	2345.074	2353.92
2014/01/20	2173.65	2182.46	2156.46	2165.99	40560152.00	39157227520	2195.622	2207.877	2250.322	2294.404	2341.698	2353.227
2014/01/21	2168.42	2197.92	2168.42	2187.41	40306248.00	38590992384	2190.534	2202.818	2245.462	2285.622	2338.722	2352.808
2014/01/22	2190.43	2244.13	2187.53	2243.80	70641376.00	64803356672	2197.506	2203.007	2243.24	2278.638	2336.584	2352.973
2014/01/23	2242.24	2248.92	2228.06	2231.89	56345952.00	55726415872	2201.516	2203.974	2239.579	2272.609	2333.658	2353.439
2014/01/24	2225.76	2257.36	2222.89	2245.68	61167672.00	59563446272	2214.954	2208.057	2238.596	2267.131	2331.524	2353.908
2014/01/27	2233.01	2233.23	2211.80	2215.92	70344248.00	63503990784	2224.94	2210.281	2234.218	2260.774	2328.707	2354.099
2014/01/28	2220.78	2233.26	2205.97	2219.86	53269128.00	49408753664	2231.43	2210.982	2230.238	2255.838	2326.03	2353.886
2014/01/29	2225.71	2233.06	2219.93	2227.78	50222716.00	48788684800	2228.226	2212.866	2225.125	2251.552	2323.43	2353.724
2014/01/30	2223.16	2223.16	2200.22	2202.45	43632304.00	43475959808	2222.338	2211.927	2219.149	2246.392	2320.912	2353.091
2014/02/07	2187.34	2212.50	2177.12	2212.48	50459316.00	49597108224	2215.698	2215.326	2215.234	2242.395	2318.777	2352.415
2014/02/10	2221.54	2270.19	2221.54	2267.53	83065712.00	81103241216	2226.02	2225.48	2216.678	2242.041	2318.104	2352.306
2014/02/11	2267.74	2296.52	2262.60	2285.56	99229832.00	92688965632	2239.16	2235.295	2219.056	2242.073	2317.598	2352.379
2014/02/12	2286.19	2294.32	2276.44	2291.25	76592160.00	73487376384	2251.854	2240.04	2221.523	2242.173	2316.786	2352.423
