'000909'	300材料 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	1469.23	1475.68	1440.59	1441.30	5542745.00	4269822976	1491.62	1517.164	1546.864	1586.849	1598.322	1624.059
2014/01/10	1439.64	1445.55	1424.96	1433.65	5503689.00	3771565312	1468.646	1508.189	1536.797	1578.825	1594.464	1622.598
2014/01/13	1437.44	1460.60	1429.16	1437.57	6473532.00	4269109248	1456.294	1497.929	1527.264	1571.276	1590.689	1621.359
2014/01/14	1437.43	1445.55	1420.28	1445.24	5561480.00	3753078784	1446.542	1488.643	1519.682	1564.784	1586.779	1620.427
2014/01/15	1446.11	1448.44	1430.02	1437.28	4550196.00	3557092864	1439.008	1476.603	1512.096	1557.178	1582.859	1619.824
2014/01/16	1438.21	1468.28	1432.05	1456.67	6045847.00	4694073344	1442.082	1466.851	1505.443	1549.622	1579.473	1619.198
2014/01/17	1450.98	1452.47	1423.79	1426.72	5709436.00	4484980736	1440.696	1454.671	1497.779	1541.232	1575.9	1617.905
2014/01/20	1424.32	1428.01	1409.98	1415.37	3683101.00	2979440640	1436.256	1446.275	1491.896	1532.623	1572.744	1616.663
2014/01/21	1415.90	1434.71	1415.90	1427.11	3879908.00	2984288768	1432.63	1439.586	1486.551	1524.493	1569.942	1615.58
2014/01/22	1428.02	1463.54	1424.77	1463.44	5373119.00	4235212800	1437.862	1438.435	1482.993	1517.462	1568.038	1614.892
2014/01/23	1460.60	1462.47	1449.11	1452.82	4571898.00	3736111616	1437.092	1439.587	1478.375	1511.105	1565.63	1614.408
2014/01/24	1450.37	1477.93	1447.85	1466.13	5666898.00	4462621696	1444.974	1442.835	1475.512	1505.477	1563.543	1613.85
2014/01/27	1455.82	1455.99	1441.38	1447.41	4651018.00	3737472768	1451.382	1443.819	1470.874	1499.449	1560.964	1613.16
2014/01/28	1451.34	1460.65	1445.67	1456.03	3699859.00	2798918144	1457.166	1444.898	1466.771	1494.754	1558.549	1612.242
2014/01/29	1457.56	1464.47	1451.65	1454.01	3283781.00	2640157952	1455.28	1446.571	1461.587	1490.254	1555.959	1611.317
2014/01/30	1450.08	1451.94	1431.04	1434.79	3667585.00	2604006144	1451.674	1444.383	1455.617	1485.09	1553.18	1610.053
2014/02/07	1426.10	1445.37	1420.28	1445.37	3801048.00	2880655872	1447.522	1446.248	1450.459	1480.602	1550.752	1608.793
2014/02/10	1454.19	1497.55	1454.19	1494.05	7848238.00	6939452928	1456.85	1454.116	1450.196	1479.302	1549.563	1607.991
2014/02/11	1494.42	1508.17	1480.66	1502.50	8633647.00	6833787392	1466.144	1461.655	1450.62	1478.252	1548.578	1607.192
2014/02/12	1501.19	1509.75	1495.67	1506.88	6281692.00	4913204224	1476.718	1465.999	1452.217	1477.328	1547.412	1606.017
2014/02/13	1505.18	1525.56	1501.16	1503.27	10063633.00	7184538112	1490.414	1471.044	1455.316	1475.932	1546.578	1604.287
2014/02/14	1507.34	1519.29	1503.33	1516.70	6580876.00	5303560704	1504.68	1476.101	1459.468	1475.708	1545.785	1602.663
2014/02/17	1531.77	1538.68	1519.18	1530.62	7567279.00	6093492736	1511.994	1484.422	1464.12	1475.39	1544.782	1601.342
2014/02/18	1532.18	1532.31	1500.57	1507.04	7709454.00	6227320320	1512.902	1489.523	1467.21	1474.355	1542.817	1599.886
2014/02/19	1507.08	1520.75	1499.60	1517.64	7568109.00	5703207936	1515.054	1495.886	1471.229	1473.02	1541.113	1598.728
2014/02/20	1517.04	1528.88	1509.00	1509.69	10431199.00	7541999104	1516.338	1503.376	1473.88	1471.537	1539.158	1597.201
2014/02/21	1506.65	1519.46	1487.75	1495.24	6674296.00	5270848000	1512.046	1508.363	1477.306	1469.761	1537.192	1595.808
2014/02/24	1485.30	1485.30	1448.14	1456.25	7855113.00	6163272704	1497.172	1504.583	1479.349	1468.325	1534.602	1594.044
2014/02/25	1458.50	1466.10	1413.47	1422.47	7091556.00	5678468096	1480.258	1496.58	1479.118	1465.94	1531.553	1592.132
2014/02/26	1418.07	1451.61	1413.82	1451.39	8367648.00	6614732288	1467.008	1491.031	1478.515	1465.155	1528.983	1590.575
2014/02/27	1448.74	1448.98	1431.32	1433.42	8122526.00	6367092224	1451.754	1484.046	1477.545	1464.892	1525.87	1588.582
2014/02/28	1430.72	1448.62	1423.76	1448.06	7138915.00	5730314752	1442.318	1477.182	1476.641	1465.373	1522.099	1586.577
2014/03/03	1447.50	1462.13	1442.68	1462.13	7650160.00	5703108096	1443.494	1470.333	1477.378	1466.191	1518.734	1584.467
2014/03/04	1460.62	1466.99	1446.15	1463.09	9110324.00	7241320448	1451.618	1465.938	1477.73	1466.786	1515.785	1582.62
2014/03/05	1460.42	1461.41	1445.23	1448.86	6475370.00	4753396224	1451.112	1459.06	1477.473	1467.172	1512.175	1580.797
2014/03/06	1442.64	1451.57	1429.74	1448.86	5634603.00	4170926080	1454.2	1452.977	1478.177	1466.912	1508.267	1578.833
2014/03/07	1452.41	1470.07	1451.20	1457.76	6627168.00	5279685120	1456.14	1449.229	1478.796	1467.947	1504.589	1576.881
2014/03/10	1438.05	1438.05	1396.47	1398.75	6855478.00	4930239488	1443.464	1443.479	1474.031	1467.393	1500.008	1574.323
2014/03/11	1396.35	1413.17	1392.55	1406.80	5192793.00	3671974400	1432.206	1441.912	1469.246	1466.716	1495.604	1572.046
2014/03/12	1401.28	1420.33	1398.96	1417.32	6980785.00	4824150528	1425.898	1438.505	1464.768	1465.178	1491.32	1569.819
2014/03/13	1420.84	1426.98	1414.98	1421.06	5781160.00	4137466880	1420.338	1437.269	1460.657	1464.12	1487.612	1567.361
2014/03/14	1415.64	1422.42	1403.34	1411.63	4807994.00	3705256448	1411.112	1433.626	1455.404	1462.303	1483.89	1564.66
2014/03/17	1421.43	1431.05	1411.04	1430.63	5083835.00	4064703744	1417.488	1430.476	1450.405	1461.744	1480.596	1561.844
2014/03/18	1427.69	1427.78	1416.89	1421.42	5020190.00	4276350976	1420.412	1426.309	1446.124	1460.59	1477.672	1559.137
2014/03/19	1416.24	1426.17	1403.33	1425.70	7386854.00	5120631296	1422.088	1423.993	1441.526	1459.646	1474.95	1556.568
2014/03/20	1416.80	1431.20	1402.46	1403.28	8070275.00	5227434496	1418.532	1419.435	1436.206	1458.596	1471.843	1553.955
2014/03/21	1397.69	1438.10	1394.51	1436.27	8246524.00	5977971200	1423.46	1417.286	1433.258	1458.293	1469.447	1551.96
2014/03/24	1434.96	1463.17	1433.64	1459.34	11481608.00	7369563136	1429.202	1423.345	1433.412	1457.136	1468.219	1550.12
2014/03/25	1453.35	1469.09	1449.62	1461.58	10945885.00	6509522944	1437.234	1428.823	1435.368	1455.772	1467.012	1548.117
2014/03/26	1462.65	1471.87	1450.48	1466.09	7275837.00	5347156992	1445.312	1433.7	1436.103	1454.412	1465.87	1546.332
2014/03/27	1467.25	1475.39	1450.61	1450.89	8709041.00	6492144128	1454.834	1436.683	1436.976	1452.666	1464.299	1544.47
2014/03/28	1451.52	1473.06	1445.96	1456.47	8450311.00	6191101952	1458.874	1441.167	1437.396	1450.658	1463.183	1542.868
2014/03/31	1457.73	1463.45	1443.61	1449.49	6061980.00	4649842688	1456.904	1443.053	1436.765	1447.954	1461.672	1541.167
2014/04/01	1448.01	1464.47	1444.94	1458.31	4720244.00	3635666688	1456.25	1446.742	1436.526	1446.33	1460.342	1539.472
2014/04/02	1461.88	1484.90	1461.88	1479.78	7428589.00	5586916864	1458.988	1452.15	1438.072	1445.068	1459.044	1537.814
2014/04/03	1484.70	1488.24	1461.85	1467.72	8194337.00	5935979008	1462.354	1458.594	1439.015	1443.669	1457.603	1536.014
2014/04/04	1463.06	1488.38	1460.26	1487.28	6822233.00	6116234752	1468.516	1463.695	1440.49	1443.403	1456.582	1534.449
2014/04/08	1482.77	1515.73	1481.08	1509.04	8571781.00	7920436736	1480.426	1468.665	1446.005	1445.163	1456.744	1532.888
2014/04/09	1510.80	1516.06	1506.41	1511.90	6985387.00	5895501824	1491.144	1473.697	1451.26	1448.144	1457.042	1531.392
2014/04/10	1513.08	1536.12	1502.89	1529.67	11627497.00	9654849536	1501.122	1480.055	1456.878	1450.753	1457.954	1530.027
2014/04/11	1524.27	1531.56	1514.43	1516.06	9777393.00	8659949568	1510.79	1486.572	1461.628	1453.508	1459.2	1528.761
2014/04/14	1513.08	1523.50	1506.27	1522.69	7465862.00	6628942848	1517.872	1493.194	1467.181	1455.996	1460.684	1527.574
2014/04/15	1517.49	1517.60	1497.40	1500.55	6828155.00	5880557568	1516.174	1498.3	1470.677	1457.276	1461.734	1526.211
2014/04/16	1494.36	1503.22	1487.35	1493.05	5589069.00	5364256256	1512.404	1501.774	1474.258	1458.275	1462.531	1524.655
2014/04/17	1496.39	1499.67	1486.74	1488.54	4549119.00	4234392576	1504.178	1502.65	1477.4	1459.598	1463.385	1523.122
2014/04/18	1484.47	1489.15	1476.06	1487.69	4127469.00	3624140544	1498.504	1504.647	1481.62	1460.892	1463.902	1521.687
