'000910'	300工业 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	1563.45	1579.73	1549.55	1552.68	9614858.00	8050296320	1576.464	1603.701	1631.83	1669.589	1662.888	1626.072
2014/01/10	1548.36	1551.73	1522.20	1525.71	9458611.00	6842978816	1557.292	1595.946	1622.378	1662.291	1660.574	1625.795
2014/01/13	1528.75	1541.73	1511.30	1519.26	7470379.00	5876476928	1548.054	1584.553	1612.775	1654.582	1658.118	1625.643
2014/01/14	1519.07	1529.22	1501.74	1528.74	8791087.00	6675064832	1538.724	1574.282	1605.13	1648.595	1655.343	1625.734
2014/01/15	1527.11	1532.00	1519.23	1531.60	8091434.00	7070119936	1531.598	1563.014	1597.855	1641.634	1652.61	1626.134
2014/01/16	1530.71	1544.29	1525.12	1533.21	9242032.00	7561467904	1527.704	1552.084	1591.046	1633.609	1650.387	1626.547
2014/01/17	1528.60	1530.25	1502.16	1505.00	9385358.00	6949875200	1523.562	1540.427	1583.75	1624.978	1647.844	1626.295
2014/01/20	1505.16	1511.68	1493.69	1502.67	6897055.00	5230697472	1520.244	1534.149	1578.006	1616.452	1645.765	1626.105
2014/01/21	1504.96	1523.43	1504.95	1517.02	6546917.00	4890298880	1517.9	1528.312	1572.838	1608.484	1643.705	1626.073
2014/01/22	1519.61	1563.56	1517.68	1563.08	13559666.00	9834457088	1524.196	1527.897	1569.875	1602.473	1642.925	1626.537
2014/01/23	1561.55	1567.14	1555.05	1561.67	10738252.00	8369614336	1529.888	1528.796	1566.249	1597.485	1641.476	1627.271
2014/01/24	1559.39	1582.12	1558.28	1574.09	10308182.00	8287384064	1543.706	1533.634	1564.79	1592.797	1640.477	1628.067
2014/01/27	1569.03	1569.11	1550.74	1553.55	10754147.00	8724237312	1553.882	1537.063	1560.808	1587.538	1639.101	1628.665
2014/01/28	1552.91	1564.21	1543.89	1554.84	8898660.00	7148411392	1561.446	1539.673	1556.978	1583.311	1637.671	1628.98
2014/01/29	1556.38	1562.50	1552.20	1554.99	8980564.00	7297703936	1559.828	1542.012	1552.513	1579.241	1636.178	1629.245
2014/01/30	1553.27	1559.87	1546.37	1548.85	8659164.00	7511826432	1557.264	1543.576	1547.83	1575.222	1634.868	1629.342
2014/02/07	1539.46	1562.80	1532.38	1562.65	9574787.00	8507678208	1554.976	1549.341	1544.884	1572.28	1633.907	1629.533
2014/02/10	1567.82	1619.91	1567.82	1616.98	17551480.00	14784854016	1567.662	1560.772	1547.46	1572.261	1634.238	1630.225
2014/02/11	1615.86	1629.57	1603.73	1623.39	17422856.00	14045955072	1581.372	1571.409	1549.86	1572.362	1634.412	1631.063
2014/02/12	1624.03	1628.67	1613.63	1625.75	12735874.00	10984792064	1595.524	1577.676	1552.786	1572.476	1634.462	1631.939
2014/02/13	1624.07	1628.85	1603.84	1605.47	16319351.00	12463380480	1606.848	1582.056	1555.426	1571.518	1634.644	1632.277
2014/02/14	1606.40	1627.92	1604.45	1627.52	14639884.00	10387359744	1619.822	1587.399	1560.516	1572.326	1634.778	1632.716
2014/02/17	1639.44	1647.11	1630.19	1646.18	18865368.00	15624782848	1625.662	1596.662	1566.863	1572.759	1634.714	1633.381
2014/02/18	1646.33	1646.33	1629.77	1636.03	17219248.00	14559761408	1628.19	1604.781	1572.227	1572.912	1633.775	1634.007
2014/02/19	1634.89	1645.16	1623.51	1638.25	17762424.00	12596699136	1630.69	1613.107	1577.559	1572.711	1632.909	1634.833
2014/02/20	1641.58	1656.05	1624.51	1626.81	20611492.00	14733839360	1634.958	1620.903	1582.24	1572.188	1631.483	1635.495
2014/02/21	1624.40	1627.40	1594.56	1605.73	13602947.00	10221125632	1630.6	1625.211	1587.276	1571.66	1629.937	1636.035
2014/02/24	1594.01	1594.01	1552.40	1567.99	15896895.00	11784385536	1614.962	1620.312	1590.542	1571.744	1627.899	1636.284
2014/02/25	1569.75	1576.08	1516.35	1522.93	15964320.00	12861473792	1592.342	1610.266	1590.838	1569.996	1624.917	1636.204
2014/02/26	1517.77	1528.71	1506.10	1528.05	13133987.00	10056077312	1570.302	1600.496	1589.086	1568.69	1622.043	1636.252
2014/02/27	1534.45	1547.08	1521.66	1522.78	16352014.00	13116758016	1549.496	1592.227	1587.141	1567.693	1618.641	1636.005
2014/02/28	1522.01	1543.43	1507.05	1541.67	12114470.00	9312045056	1536.684	1583.642	1585.521	1568.225	1615.258	1635.786
2014/03/03	1544.92	1564.03	1538.55	1561.82	13522363.00	10794625024	1535.45	1575.206	1585.934	1569.644	1612.113	1635.69
2014/03/04	1552.85	1557.27	1539.45	1554.45	11452609.00	9366114304	1541.754	1567.048	1585.915	1570.501	1609.548	1635.616
2014/03/05	1558.21	1559.75	1534.32	1536.95	10473053.00	8456024576	1543.534	1556.918	1585.012	1570.679	1606.157	1635.305
2014/03/06	1535.19	1545.06	1514.32	1539.96	10890151.00	8196587008	1546.97	1548.233	1584.568	1570.904	1602.256	1634.917
2014/03/07	1537.35	1549.07	1524.59	1532.16	10032675.00	7693991424	1545.068	1540.876	1583.043	1571.809	1598.394	1634.29
2014/03/10	1518.18	1518.18	1468.89	1472.10	13212114.00	9440451584	1527.124	1531.287	1575.8	1570.79	1593.621	1633.178
2014/03/11	1467.43	1474.73	1454.93	1464.40	9885503.00	7534450176	1509.114	1525.434	1567.85	1569.036	1588.76	1632.122
