'000911'	300可选 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	3495.64	3523.17	3459.31	3462.79	10060221.00	8687736832	3497.692	3558.301	3628.845	3677.508	3677.824	3504.444
2014/01/10	3459.84	3476.55	3435.08	3443.70	9592425.00	6931576320	3472.804	3546.66	3608.813	3666.709	3673.165	3507.372
2014/01/13	3441.25	3469.36	3383.20	3409.26	7049681.00	6237856768	3460.828	3524.69	3585.758	3654.626	3667.121	3510.454
2014/01/14	3410.51	3497.86	3409.49	3497.67	12091731.00	8282287616	3464.304	3511.598	3572.027	3650.684	3660.243	3514.632
2014/01/15	3491.38	3532.60	3484.98	3517.37	11317532.00	8578833920	3466.158	3498.364	3563.156	3645.372	3655.082	3519.52
2014/01/16	3517.32	3529.56	3488.62	3497.52	10010340.00	8211793920	3473.104	3485.398	3553.616	3636.271	3651.297	3523.999
2014/01/17	3480.95	3489.94	3430.62	3433.24	7896988.00	6588360192	3471.012	3471.908	3542.544	3624.389	3645.936	3527.248
2014/01/20	3426.53	3450.46	3413.86	3435.75	8148448.00	6471617536	3476.31	3468.569	3535.302	3612.377	3642.112	3530.423
2014/01/21	3438.90	3480.45	3438.90	3478.89	7296072.00	6313972736	3472.554	3468.429	3529.212	3600.672	3638.835	3534.227
2014/01/22	3485.52	3584.25	3478.55	3582.80	13755977.00	11379249152	3485.64	3475.899	3526.988	3590.577	3637.742	3538.884
2014/01/23	3583.15	3619.03	3574.19	3598.54	10100717.00	9705793536	3505.844	3489.474	3523.887	3582.388	3635.292	3544.226
2014/01/24	3581.79	3635.72	3576.12	3620.42	9942327.00	9361892352	3543.28	3507.146	3526.903	3574.924	3634.711	3549.771
2014/01/27	3601.02	3639.01	3575.37	3607.59	19298104.00	12685881344	3577.648	3526.979	3525.834	3566.165	3634.21	3554.898
2014/01/28	3617.54	3635.53	3570.74	3592.90	13406713.00	8942056448	3600.45	3536.502	3524.05	3560.185	3633.043	3559.377
2014/01/29	3605.80	3613.78	3589.87	3605.15	10267250.00	7912648192	3604.92	3545.28	3521.822	3557.197	3631.224	3564.033
2014/01/30	3607.58	3612.12	3550.89	3558.76	9386609.00	7737586688	3596.964	3551.404	3518.401	3552.879	3630.292	3567.858
2014/02/07	3523.49	3593.37	3501.65	3592.24	12471090.00	9764716544	3591.328	3567.304	3519.606	3550.798	3630.757	3571.045
2014/02/10	3616.56	3717.14	3616.56	3711.41	16840404.00	14420286464	3612.092	3594.87	3531.719	3555.158	3633.645	3575.382
2014/02/11	3723.41	3729.89	3673.32	3699.24	15402530.00	13979621376	3633.36	3616.905	3542.667	3558.443	3636.471	3579.448
2014/02/12	3698.65	3741.02	3679.26	3741.02	12997885.00	12928259072	3660.534	3632.727	3554.313	3562.234	3639.621	3583.841
2014/02/13	3752.23	3780.96	3723.56	3728.15	15105187.00	15348332544	3694.412	3645.688	3567.581	3564.488	3643.779	3587.739
2014/02/14	3721.86	3764.28	3720.98	3764.28	10526291.00	11602284544	3728.82	3660.074	3583.61	3571.293	3647.299	3592.075
2014/02/17	3783.76	3810.33	3741.92	3810.33	16435906.00	15106451456	3748.604	3680.348	3603.664	3577.339	3650.473	3596.659
2014/02/18	3811.20	3811.20	3760.92	3796.55	16493537.00	16847079424	3768.066	3700.713	3618.607	3582.938	3651.797	3601.539
2014/02/19	3796.82	3834.27	3773.20	3833.93	17008414.00	16177678336	3786.648	3723.591	3634.436	3589.078	3653.869	3607.055
2014/02/20	3850.31	3877.91	3780.17	3782.66	16369924.00	15761078272	3797.55	3745.981	3648.692	3594.261	3654.65	3611.572
2014/02/21	3775.28	3783.73	3711.93	3746.08	11091040.00	11428563968	3793.91	3761.365	3664.334	3600.192	3654.734	3615.908
2014/02/24	3714.24	3714.24	3581.52	3630.84	14597989.00	14540470272	3758.012	3753.308	3674.089	3605.582	3653.207	3619.357
2014/02/25	3631.01	3643.63	3470.91	3499.79	19293848.00	17481641984	3698.66	3733.363	3675.134	3606.232	3649.692	3621.63
