'000913'	300医药 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	5744.54	5802.06	5708.02	5711.71	1966884.00	4817598464	5729.802	5727.223	5688.648	5689.429	5685.147	5785.58
2014/01/10	5698.63	5736.41	5596.18	5604.16	1544387.00	3627274240	5688.462	5722.549	5684.141	5687.696	5679.302	5782.337
2014/01/13	5603.81	5639.41	5524.27	5548.84	1406510.00	3294790144	5665.594	5707.194	5676.894	5682.738	5672.247	5779.674
2014/01/14	5549.21	5596.75	5501.87	5595.40	1319138.00	3107739392	5642.856	5699.527	5677.074	5684.205	5663.833	5777.692
2014/01/15	5591.91	5661.36	5590.68	5659.66	1553741.00	3653552128	5623.954	5691.599	5678.2	5683.5	5656.588	5777.215
2014/01/16	5667.19	5669.90	5606.48	5610.91	1195238.00	2978085888	5603.794	5666.798	5675.191	5678.757	5650.155	5775.23
2014/01/17	5609.22	5617.64	5511.91	5514.89	1182328.00	2903294208	5585.94	5637.201	5671.624	5670.813	5642.095	5771.358
2014/01/20	5496.66	5528.95	5383.74	5435.54	1329560.00	3610825728	5563.28	5614.437	5666.023	5660.145	5635.476	5765.761
2014/01/21	5430.72	5486.59	5430.00	5457.27	1073941.00	2643844096	5535.654	5589.255	5653.373	5650.539	5630.797	5760.979
2014/01/22	5473.09	5572.94	5463.81	5572.31	1706986.00	3993052672	5518.184	5571.069	5647.826	5646.999	5628.763	5757.257
2014/01/23	5570.46	5578.18	5527.70	5545.44	1540784.00	3745713408	5505.09	5554.442	5640.833	5643.913	5625.208	5753.639
2014/01/24	5538.33	5581.39	5529.17	5576.09	1933979.00	4737655296	5517.33	5551.635	5637.092	5639.972	5623.985	5751.056
2014/01/27	5550.72	5550.72	5457.79	5460.21	1651727.00	4287444736	5522.264	5542.772	5624.983	5632.187	5620.233	5747.932
2014/01/28	5477.87	5518.92	5464.56	5505.94	1825509.00	4491467776	5531.998	5533.826	5616.676	5629.325	5618.569	5744.067
2014/01/29	5523.84	5528.13	5497.01	5523.94	1400540.00	3485353984	5522.324	5520.254	5605.926	5625.551	5617.127	5740.594
2014/01/30	5514.31	5525.07	5484.91	5495.56	1274627.00	2880291072	5512.348	5508.719	5587.758	5619.7	5616.834	5735.569
2014/02/07	5459.09	5460.41	5409.76	5451.30	1581100.00	3725801472	5487.39	5502.36	5569.78	5615.203	5617.485	5729.61
2014/02/10	5482.89	5657.44	5482.89	5654.88	2972012.00	7176985600	5526.324	5524.294	5569.365	5618.78	5622.726	5726.305
2014/02/11	5670.89	5742.82	5658.56	5685.82	2972043.00	7088958976	5562.3	5547.149	5568.202	5617.965	5626.003	5722.708
2014/02/12	5705.71	5714.75	5658.40	5709.93	2297429.00	5410869248	5599.498	5560.911	5565.99	5618.854	5628.461	5719.382
2014/02/13	5697.65	5714.91	5586.33	5589.94	2408797.00	5904008192	5618.374	5565.361	5559.901	5615.675	5630.464	5715.06
2014/02/14	5594.67	5682.68	5594.35	5682.58	1979316.00	4637432832	5664.63	5576.01	5563.822	5616.731	5632.458	5711.77
2014/02/17	5703.97	5722.61	5675.56	5722.56	2337859.00	5757267456	5678.166	5602.245	5572.508	5617.404	5634.499	5709.019
2014/02/18	5728.55	5753.46	5702.89	5729.96	3314618.00	7586698240	5686.994	5624.647	5579.236	5619.333	5636.082	5707.817
2014/02/19	5723.16	5807.07	5698.88	5776.43	2716605.00	6801213440	5700.294	5649.896	5585.075	5620.583	5639.069	5707.939
2014/02/20	5786.94	5792.34	5717.29	5721.36	2432972.00	5814019584	5726.578	5672.476	5590.598	5615.998	5640.646	5706.856
2014/02/21	5721.50	5759.75	5667.91	5698.76	1876098.00	4563372544	5729.814	5697.222	5599.791	5612.261	5642.039	5706.16
2014/02/24	5657.09	5713.05	5586.63	5708.81	2826824.00	6622285824	5727.064	5702.615	5613.455	5613.782	5644.467	5705.57
2014/02/25	5715.54	5762.09	5535.55	5559.37	3413003.00	7822374400	5692.946	5689.97	5618.56	5608.792	5644.35	5703.039
2014/02/26	5533.12	5580.46	5451.16	5579.99	2282942.00	5320250880	5653.658	5676.976	5618.943	5602.985	5644.611	5700.404
2014/02/27	5589.01	5614.68	5371.20	5390.22	2767274.00	6489485824	5587.43	5657.004	5611.183	5592.269	5640.849	5695.786
2014/02/28	5359.43	5429.36	5290.94	5422.12	2146780.00	5290194944	5532.102	5630.958	5603.484	5586.201	5636.949	5691.479
2014/03/03	5416.71	5473.57	5396.47	5458.38	2013269.00	4721421312	5482.016	5604.54	5603.393	5583.186	5632.962	5688.837
2014/03/04	5446.97	5447.80	5355.30	5418.48	1959930.00	4612940800	5453.838	5573.392	5599.02	5577.289	5630.747	5685.929
2014/03/05	5426.11	5441.35	5330.93	5350.13	1556918.00	3754718464	5407.866	5530.762	5590.329	5566.971	5625.235	5683.181
2014/03/06	5342.19	5355.22	5241.26	5304.09	2125194.00	5286194176	5390.64	5489.035	5580.755	5556.743	5617.75	5679.749
2014/03/07	5289.07	5412.45	5280.88	5375.62	1990288.00	5233809408	5381.34	5456.721	5576.972	5552.101	5611.457	5676.358
2014/03/10	5344.53	5344.53	5249.30	5263.79	1899325.00	4490998784	5342.422	5412.219	5557.417	5546.376	5603.26	5672.549
2014/03/11	5254.34	5338.35	5254.34	5337.55	1484469.00	3754081536	5326.236	5390.037	5540.003	5542.385	5596.462	5669.615
2014/03/12	5339.29	5391.87	5282.54	5327.42	1874677.00	4601945088	5321.694	5364.78	5520.878	5534.222	5590.611	5666.353
2014/03/13	5326.59	5420.32	5324.99	5406.11	1828451.00	4347709952	5342.098	5366.369	5511.687	5529.578	5586.746	5663.939
2014/03/14	5374.99	5395.26	5318.36	5356.82	1715933.00	3677691648	5338.338	5359.839	5495.398	5522.269	5581.121	5661.518
2014/03/17	5384.67	5420.23	5353.48	5420.18	1946458.00	4300387328	5369.616	5356.019	5480.279	5520.935	5576.561	5659.998
2014/03/18	5424.38	5456.10	5409.90	5422.53	2591534.00	5585585152	5386.612	5356.424	5464.908	5518.154	5573.739	5658.377
2014/03/19	5403.32	5405.20	5326.67	5352.53	2184092.00	4946361344	5391.634	5356.664	5443.713	5512.44	5568.996	5655.669
2014/03/20	5342.85	5365.44	5203.18	5206.51	2015304.00	4562670080	5351.714	5346.906	5417.971	5502.806	5561.253	5651.391
2014/03/21	5180.80	5298.39	5147.49	5295.75	1817973.00	4051434240	5339.5	5338.919	5397.82	5497.621	5556.412	5648.514
2014/03/24	5286.19	5295.72	5242.15	5257.26	1575953.00	3449606400	5306.916	5338.266	5375.243	5484.367	5551.573	5644.957
2014/03/25	5253.82	5281.03	5230.08	5252.56	1412588.00	3027288320	5272.922	5329.767	5359.902	5469.925	5543.945	5639.783
2014/03/26	5297.65	5373.67	5297.65	5316.73	1577771.00	3573946112	5265.762	5328.698	5346.739	5456.818	5537.836	5635.247
2014/03/27	5315.66	5317.48	5233.85	5233.85	1965909.00	4690586624	5271.23	5311.472	5338.92	5444.948	5530.312	5630.233
2014/03/28	5240.37	5265.87	5144.61	5164.03	1782950.00	3890770944	5244.886	5292.193	5326.016	5427.663	5522.197	5623.709
2014/03/31	5169.09	5202.95	5099.34	5133.18	1183289.00	2857416192	5220.07	5263.493	5309.756	5408.017	5512.71	5616.25
2014/04/01	5133.69	5172.92	5130.34	5167.24	1332914.00	3112763392	5203.006	5237.964	5297.194	5389.26	5504.297	5609.116
2014/04/02	5171.93	5175.07	5103.13	5118.23	1530263.00	3592766464	5163.306	5214.534	5285.599	5367.32	5493.952	5601.556
2014/04/03	5127.99	5156.17	5106.43	5119.05	1408468.00	3174801152	5140.346	5205.788	5276.347	5347.243	5481.62	5594.237
2014/04/04	5113.00	5155.88	5093.66	5155.06	1277106.00	3117379072	5138.552	5191.719	5265.319	5329.12	5470.69	5587.776
2014/04/08	5131.46	5272.20	5123.23	5272.20	2070150.00	4726051840	5166.356	5193.213	5265.739	5314.566	5464.174	5581.572
2014/04/09	5265.00	5302.05	5249.26	5299.69	1840165.00	4156367360	5192.846	5197.926	5263.847	5305.91	5457.351	5576.011
2014/04/10	5300.53	5302.59	5265.88	5288.89	2027688.00	4431282176	5226.978	5195.142	5261.92	5296.207	5449.596	5569.64
2014/04/11	5291.50	5385.80	5289.98	5355.29	2190286.00	5357185536	5274.226	5207.286	5259.379	5295.042	5443.656	5564.401
2014/04/14	5356.91	5371.19	5328.17	5360.74	1572573.00	3803328512	5315.362	5226.957	5259.575	5292.996	5439.599	5559.45
2014/04/15	5338.90	5344.79	5298.80	5304.35	1809572.00	4040781312	5321.792	5244.074	5253.784	5287.862	5435.524	5553.885
2014/04/16	5298.83	5320.09	5272.28	5300.77	1417709.00	3087898368	5322.008	5257.427	5247.695	5283.938	5430.613	5547.223
2014/04/17	5311.61	5325.50	5262.75	5264.54	1393628.00	2885226496	5317.138	5272.058	5243.296	5281.085	5424.028	5540.308
2014/04/18	5243.88	5263.61	5213.83	5252.91	1114768.00	2456472320	5296.662	5285.444	5245.616	5279.379	5418.062	5534.108
2014/04/21	5221.49	5294.93	5199.48	5200.63	1244760.00	2822977792	5264.64	5290.001	5240.86	5273.546	5412.824	5527.459
2014/04/22	5179.01	5210.60	5107.47	5156.63	1415801.00	3317110528	5235.096	5278.444	5235.829	5269.974	5408.175	5521.826
2014/04/23	5154.10	5184.94	5133.97	5154.26	1302286.00	2697651200	5205.794	5263.901	5230.914	5263.865	5403.125	5516.961
2014/04/24	5139.90	5150.68	5096.32	5108.00	1112931.00	2430926592	5174.486	5245.812	5220.477	5256.551	5395.387	5512.075
2014/04/25	5113.68	5123.42	5027.75	5029.67	1505937.00	3143496960	5129.838	5213.25	5210.268	5244.002	5386.791	5506
2014/04/28	5023.06	5040.03	4912.20	4921.37	1789417.00	3626315776	5073.986	5169.313	5198.135	5229.488	5375.878	5499.932
2014/04/29	4918.05	4972.24	4918.05	4969.65	1323484.00	2506877184	5036.59	5135.843	5189.958	5214.47	5367.702	5493.968
2014/04/30	4984.42	5044.57	4978.29	5039.35	1222013.00	2657280256	5013.608	5109.701	5183.564	5201.697	5359.926	5489.248
2014/05/05	5026.61	5075.96	5004.07	5065.59	1232308.00	2271719168	5005.126	5089.806	5180.932	5192.133	5352.287	5484.707
2014/05/06	5042.96	5109.07	5038.37	5081.89	1671991.00	3383343872	5015.57	5072.704	5179.074	5187.979	5345.392	5481.113
2014/05/07	5066.50	5070.73	5013.35	5013.35	1223427.00	2340101376	5033.966	5053.976	5171.988	5178.565	5338.093	5477.789
2014/05/08	5007.17	5075.82	5004.31	5020.53	1281779.00	2469021440	5044.142	5040.366	5159.405	5170.674	5327.521	5475.123
