'000914'	300金融 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	3371.78	3409.93	3355.40	3360.96	14937590.00	13518727168	3380.806	3422.609	3469.005	3548.383	3574.387	3577.177
2014/01/10	3352.00	3363.02	3329.10	3347.94	14190206.00	12080694272	3366.236	3418.086	3455.688	3537.694	3570.51	3575.086
2014/01/13	3352.59	3372.43	3323.57	3335.41	15630528.00	12908262400	3357.358	3405.578	3441.872	3526.704	3566.009	3573.341
2014/01/14	3333.73	3363.65	3313.05	3348.94	13386872.00	11097435136	3354.646	3395.112	3430.65	3513.673	3561.039	3572.395
2014/01/15	3344.62	3345.73	3301.32	3319.28	12735679.00	10240282624	3342.506	3374.655	3418.565	3499.932	3556.439	3571.979
2014/01/16	3321.29	3355.09	3305.81	3329.88	14515303.00	13109981184	3336.29	3358.548	3406.642	3485.533	3551.864	3571.686
2014/01/17	3316.40	3319.93	3283.72	3298.05	14936473.00	12714135552	3326.312	3346.274	3395.355	3470.352	3547.347	3570.326
2014/01/20	3286.97	3302.53	3271.10	3279.43	10737437.00	8834338816	3315.116	3336.237	3388.557	3455.952	3542.445	3569.313
2014/01/21	3287.40	3340.26	3287.40	3314.66	12339280.00	10768790528	3308.26	3331.453	3383.167	3443.223	3538.261	3568.665
2014/01/22	3319.47	3403.33	3313.03	3396.37	21700964.00	18372263936	3323.678	3333.092	3381.987	3432.744	3534.12	3568.893
2014/01/23	3388.19	3394.31	3348.45	3353.02	15644871.00	13741036544	3328.306	3332.298	3377.454	3423.436	3528.702	3569.508
2014/01/24	3338.56	3396.66	3332.76	3367.48	18810078.00	16272197632	3342.192	3334.252	3376.169	3415.209	3524.334	3569.823
2014/01/27	3343.93	3343.93	3302.60	3308.48	17427156.00	15915143168	3348.002	3331.559	3368.569	3405.101	3518.183	3569.523
2014/01/28	3321.33	3347.79	3313.23	3337.39	13261367.00	11441609728	3352.548	3330.404	3362.758	3397.235	3513.058	3568.794
2014/01/29	3348.99	3367.04	3339.03	3361.44	13701649.00	11488103424	3345.562	3334.62	3354.637	3390.583	3508.662	3568.278
2014/01/30	3350.54	3350.72	3318.90	3321.50	10738992.00	9946720256	3339.258	3333.782	3346.165	3382.355	3504.58	3567.129
2014/02/07	3296.24	3311.64	3271.80	3311.08	11977605.00	11548600320	3327.978	3335.085	3340.679	3375.265	3500.321	3565.964
2014/02/10	3322.77	3371.25	3320.92	3367.38	18826336.00	16855316480	3339.758	3343.88	3340.059	3373.665	3497.895	3565.351
2014/02/11	3363.68	3453.69	3348.65	3421.46	32444492.00	26597509120	3356.572	3354.56	3343.006	3373.631	3496.453	3565.37
2014/02/12	3422.91	3451.52	3405.79	3419.69	24112084.00	19594913792	3368.222	3356.892	3344.992	3373.622	3494.157	3565.327
2014/02/13	3412.41	3479.00	3393.83	3429.78	33522136.00	25931034624	3389.878	3364.568	3348.433	3373.158	3493.717	3564.294
2014/02/14	3423.98	3438.50	3408.08	3424.77	17901250.00	14241349632	3412.616	3370.297	3352.274	3374.212	3493.376	3562.989
2014/02/17	3444.86	3454.58	3408.66	3424.82	21496268.00	18837669888	3424.104	3381.931	3356.745	3373.023	3491.577	3561.831
2014/02/18	3420.17	3420.17	3348.11	3352.81	23311460.00	20630327296	3410.374	3383.473	3356.938	3369.663	3485.537	3560.447
