Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	1561.00	1587.68	1546.01	1546.15	4005404.00	5317697536	1563.256	1554.158	1544.587	1553.63	1556.689	1558.336
2014/01/10	1539.02	1542.47	1507.20	1512.38	3031878.00	4494683648	1547.124	1554.201	1541.802	1550.376	1554.611	1558.736
2014/01/13	1510.86	1515.24	1483.80	1494.97	2913389.00	4598272000	1535.224	1549.102	1538.016	1546.379	1551.685	1559.22
2014/01/14	1496.18	1515.57	1477.17	1514.85	3064988.00	4540416512	1526.868	1546.306	1536.613	1545.528	1548.295	1559.884
2014/01/15	1513.21	1556.01	1512.42	1554.86	3376941.00	5561755648	1524.642	1547.133	1537.568	1545.185	1546.33	1561.026
2014/01/16	1555.14	1565.40	1531.51	1534.34	2959026.00	4832092160	1522.28	1542.768	1537.218	1543.315	1544.76	1561.592
2014/01/17	1527.83	1534.37	1509.51	1512.17	2580019.00	4445914624	1522.238	1534.681	1536.416	1541.403	1543.035	1561.496
2014/01/20	1507.43	1519.38	1483.20	1494.70	2672499.00	4433344512	1522.184	1528.704	1536.083	1539.579	1542.017	1561.103
2014/01/21	1493.68	1518.78	1492.84	1517.50	2763093.00	4369029120	1522.714	1524.791	1537.469	1537.974	1541.132	1561.353
2014/01/22	1517.89	1554.38	1513.76	1551.41	3860257.00	6095513600	1522.024	1523.333	1539.151	1537.468	1541.339	1562.048
2014/01/23	1553.54	1576.38	1552.69	1571.03	3954205.00	6365040640	1529.362	1525.821	1539.99	1538.331	1541.772	1562.954
2014/01/24	1574.71	1603.45	1572.98	1594.11	4013215.00	6557395968	1545.75	1533.994	1544.098	1539.199	1543.047	1564.454
2014/01/27	1590.81	1603.82	1575.20	1584.21	6892525.00	7383565824	1563.652	1542.918	1546.01	1539.65	1544.462	1566.048
2014/01/28	1584.91	1589.77	1548.04	1556.75	4283558.00	6245972480	1571.502	1547.108	1546.707	1540.111	1545.055	1566.802
2014/01/29	1555.72	1596.47	1553.53	1595.88	4229651.00	7395341824	1580.396	1551.21	1549.172	1542.115	1545.87	1567.737
2014/01/30	1592.05	1599.29	1574.83	1579.38	3560836.00	5729274368	1582.066	1555.714	1549.241	1543.383	1546.753	1568.167
2014/02/07	1568.81	1628.31	1563.32	1627.28	4377370.00	6486109184	1588.7	1567.225	1550.953	1546.685	1549.114	1568.834
2014/02/10	1630.94	1667.30	1630.90	1659.56	6212488.00	8959031296	1603.77	1583.711	1556.208	1551.959	1552.371	1570.122
2014/02/11	1665.60	1671.79	1618.76	1627.69	6280137.00	9410225152	1617.958	1594.73	1559.76	1556.556	1554.664	1570.898
2014/02/12	1626.85	1639.54	1605.88	1639.54	4604681.00	7563089408	1626.69	1603.543	1563.438	1560.615	1557.208	1571.819
