'000917'	300公用 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	1141.04	1147.02	1129.55	1130.17	2132823.00	989286848	1148.444	1170.595	1198.879	1228.686	1245.862	1243.067
2014/01/10	1128.71	1135.94	1120.47	1127.56	2691459.00	1151653376	1137.89	1165.237	1191.402	1223.966	1243.654	1242.048
2014/01/13	1125.81	1130.30	1116.56	1125.30	2602286.00	1181540224	1133.502	1158.085	1184.402	1219.291	1241.519	1241.064
2014/01/14	1124.72	1137.89	1122.02	1137.31	1783560.00	811461760	1132.636	1152.883	1179.079	1214.729	1239.292	1240.292
2014/01/15	1136.71	1136.71	1121.53	1128.71	1417130.00	626690432	1129.81	1145.707	1173.63	1209.078	1236.973	1239.675
2014/01/16	1128.27	1138.78	1123.54	1135.96	2158893.00	885448960	1130.968	1139.706	1168.667	1203.396	1235.142	1239.041
2014/01/17	1132.32	1132.32	1118.91	1120.15	1875497.00	775342592	1129.486	1133.688	1163.573	1197.441	1233.246	1238.12
2014/01/20	1119.16	1121.63	1110.88	1114.41	1641120.00	743286912	1127.308	1130.405	1159.38	1191.366	1231.444	1237.276
2014/01/21	1116.09	1130.66	1115.83	1128.95	1522082.00	689965120	1125.636	1129.136	1156.182	1185.729	1229.709	1236.647
2014/01/22	1130.32	1151.28	1128.54	1150.25	2595420.00	1094023936	1129.944	1129.877	1153.866	1180.861	1227.955	1236.121
2014/01/23	1155.99	1165.22	1149.76	1152.34	2757433.00	1192367872	1133.22	1132.094	1151.344	1176.617	1225.328	1235.762
2014/01/24	1151.01	1161.68	1148.57	1152.03	2595935.00	1156759168	1139.596	1134.541	1149.889	1172.449	1223.057	1235.285
2014/01/27	1147.03	1147.03	1138.54	1140.86	1947865.00	839214080	1144.886	1136.097	1147.091	1168.301	1220.601	1234.759
2014/01/28	1141.26	1146.38	1133.97	1143.07	1941027.00	896476608	1147.71	1136.673	1144.778	1164.944	1218.133	1234.03
2014/01/29	1146.01	1154.51	1144.79	1153.59	2234302.00	1009040384	1148.378	1139.161	1142.434	1162.14	1215.929	1233.436
2014/01/30	1150.94	1152.49	1139.90	1142.54	1270470.00	580082176	1146.418	1139.819	1139.762	1159.051	1213.693	1232.61
2014/02/07	1136.22	1146.62	1128.21	1146.57	1786889.00	782000576	1145.326	1142.461	1138.074	1156.536	1211.436	1231.536
2014/02/10	1149.42	1167.81	1147.31	1165.43	3352506.00	1486812160	1150.24	1147.563	1138.984	1155.441	1209.649	1230.757
2014/02/11	1164.57	1181.08	1160.90	1179.19	3910383.00	1950080768	1157.464	1152.587	1140.861	1154.983	1208.072	1230.14
2014/02/12	1179.64	1183.70	1173.02	1179.21	2984567.00	1507294592	1162.588	1155.483	1142.68	1154.405	1206.531	1229.6
2014/02/13	1177.31	1177.97	1166.71	1169.15	3516345.00	1560133888	1167.91	1157.164	1144.629	1153.284	1205.516	1228.758
2014/02/14	1168.30	1179.39	1165.87	1179.18	2476213.00	1127961344	1174.432	1159.879	1147.21	1153.219	1204.722	1227.965
2014/02/17	1182.59	1186.28	1177.79	1182.38	2746843.00	1291910912	1177.822	1164.031	1150.064	1152.738	1203.68	1227.311
