'000928'	中证能源	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	1958.22	1971.29	1931.04	1934.09	3202852.00	2355966720	1973.614	2007.205	2061.3	2121.273	2165.787	2158.439
2014/01/09	1949.23	1961.32	1935.75	1942.52	4742956.00	3421529600	1957.384	1995.076	2049.385	2111.502	2161.372	2156.972
2014/01/10	1938.82	1949.52	1921.72	1924.25	5538639.00	4119374848	1941.992	1985.392	2036.565	2100.003	2156.29	2155.374
2014/01/13	1924.53	1932.34	1893.03	1902.10	4079664.00	2933623808	1931.572	1971.924	2023.695	2088.31	2150.991	2153.695
2014/01/14	1892.84	1927.21	1886.31	1919.36	5225769.00	3613913856	1924.464	1960.695	2013.469	2078.381	2145.281	2152.434
2014/01/15	1912.90	1917.78	1900.64	1911.02	3454104.00	2469925888	1919.85	1946.732	2003.143	2067.268	2139.361	2151.497
2014/01/16	1910.57	1931.70	1902.35	1916.73	3731568.00	2763926016	1914.692	1936.038	1993.158	2055.701	2133.881	2150.584
2014/01/17	1909.40	1909.44	1883.34	1884.94	4183003.00	3010290688	1906.83	1924.411	1982.123	2043.163	2128.687	2149.018
2014/01/20	1880.65	1880.65	1850.21	1862.23	2642963.00	1974377088	1898.856	1915.214	1972.563	2030.813	2123.552	2147.459
2014/01/21	1863.38	1885.35	1863.38	1879.02	2508674.00	1981875584	1890.788	1907.626	1963.624	2019.197	2118.671	2146.051
2014/01/22	1879.17	1920.61	1878.69	1920.08	4281799.00	3174263808	1892.6	1906.225	1956.715	2009.608	2114.621	2145.075
2014/01/23	1917.37	1921.69	1902.23	1902.98	3518818.00	2787222016	1889.85	1902.271	1948.673	2000.347	2109.661	2144.377
2014/01/24	1900.12	1929.32	1896.91	1921.50	4421540.00	3314668032	1897.162	1901.996	1943.694	1991.709	2105.239	2143.71
2014/01/27	1908.13	1916.26	1892.90	1905.79	4034367.00	3033537536	1905.874	1902.365	1937.145	1983.252	2100.737	2142.807
2014/01/28	1910.48	1918.50	1889.38	1894.08	2913352.00	2308970240	1908.886	1899.837	1930.266	1975.592	2095.751	2141.338
2014/01/29	1897.11	1901.30	1882.77	1882.99	2771362.00	2126622464	1901.468	1897.034	1921.883	1967.773	2090.466	2139.708
2014/01/30	1880.09	1880.60	1848.58	1852.07	2527826.00	2163803904	1891.286	1890.568	1913.303	1958.961	2084.028	2137.645
2014/02/07	1848.13	1871.02	1841.23	1870.42	2486881.00	2028951168	1881.07	1889.116	1906.763	1951.121	2077.89	2135.526
2014/02/10	1873.95	1910.00	1871.47	1908.02	5431565.00	4189976576	1881.516	1893.695	1904.454	1946.273	2073.177	2133.804
2014/02/11	1905.75	1954.03	1899.16	1947.39	8450623.00	6312426496	1892.178	1900.532	1904.079	1942.593	2069.242	2132.524
2014/02/12	1941.31	1953.33	1933.90	1946.85	6648581.00	5049536512	1904.95	1903.209	1904.717	1938.88	2065.092	2131.027
2014/02/13	1946.03	1947.87	1922.39	1922.71	5682116.00	4439225856	1919.078	1905.182	1903.726	1934.176	2061.373	2128.334
