'000930'	中证工业	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	2077.29	2092.50	2060.89	2068.83	16349058.00	14400933888	2100.16	2119.67	2150.875	2189.667	2179.653	2126.632
2014/01/09	2065.03	2084.96	2045.64	2048.09	15919860.00	14666108928	2078.116	2110.038	2141.429	2182.834	2177.121	2127.084
2014/01/10	2042.81	2045.53	2007.33	2012.19	15716207.00	12796632064	2053.794	2100.857	2130.035	2174.168	2173.976	2127.068
2014/01/13	2013.89	2030.20	1989.55	2001.26	13450234.00	11777411072	2041.484	2086.602	2118.128	2164.853	2170.555	2127.201
2014/01/14	2001.04	2021.59	1984.34	2021.21	14299738.00	11877138432	2030.316	2074.112	2109.109	2158.765	2166.726	2127.651
2014/01/15	2019.57	2027.92	2012.13	2026.75	13600619.00	12794394624	2021.9	2061.03	2100.835	2151.408	2163.065	2128.527
2014/01/16	2027.88	2044.91	2021.39	2030.89	15386596.00	13590593536	2018.46	2048.288	2093.21	2142.623	2160.186	2129.348
2014/01/17	2024.86	2026.01	1995.13	1998.12	15004980.00	12482778112	2015.646	2034.72	2085.129	2133.038	2156.981	2129.413
2014/01/20	1997.86	2004.67	1981.03	1990.73	12140400.00	10549041152	2013.54	2027.512	2078.658	2123.424	2154.291	2129.455
2014/01/21	1993.06	2017.40	1993.06	2011.21	11966755.00	10460661760	2011.54	2020.928	2073.219	2114.342	2151.817	2129.799
2014/01/22	2015.13	2071.42	2013.61	2071.11	21667300.00	18100133888	2020.412	2021.156	2070.413	2107.636	2151.197	2130.733
2014/01/23	2069.94	2082.96	2066.10	2075.56	18525516.00	17033904128	2029.346	2023.903	2066.97	2102.254	2149.83	2132.068
2014/01/24	2071.89	2101.44	2069.97	2093.31	18416050.00	16899769344	2048.384	2032.015	2066.436	2097.362	2149.13	2133.544
2014/01/27	2085.58	2088.31	2071.61	2074.16	18836376.00	17879693312	2065.07	2039.305	2062.954	2091.854	2148.105	2134.807
2014/01/28	2072.79	2087.53	2060.35	2075.54	14860593.00	13752133632	2077.936	2044.738	2059.425	2087.652	2146.917	2135.668
2014/01/29	2077.32	2086.32	2077.30	2082.07	14677572.00	13631906816	2080.128	2050.27	2055.65	2083.98	2145.628	2136.535
2014/01/30	2079.12	2085.32	2069.07	2073.21	13889596.00	13216526336	2079.658	2054.502	2051.395	2080.308	2144.577	2137.146
2014/02/07	2060.64	2098.38	2052.68	2098.32	16404366.00	16052344832	2080.66	2064.522	2049.621	2078.26	2144.213	2137.896
2014/02/10	2105.54	2172.58	2105.54	2170.18	28797292.00	27473946624	2099.864	2082.467	2054.99	2079.928	2145.543	2139.321
2014/02/11	2171.00	2185.18	2151.77	2177.90	29728772.00	27337273344	2120.336	2099.136	2060.032	2081.858	2146.776	2140.903
2014/02/12	2180.06	2189.79	2170.06	2189.54	25182324.00	23929102336	2141.83	2110.979	2066.067	2083.935	2147.986	2142.587
2014/02/13	2190.14	2195.73	2161.65	2162.99	28873820.00	25767540736	2159.786	2119.722	2071.813	2084.554	2149.405	2143.611
2014/02/14	2164.31	2197.57	2161.52	2197.57	25783416.00	21914968064	2179.636	2130.148	2081.082	2087.673	2150.885	2144.807
2014/02/17	2211.71	2228.27	2206.55	2227.75	32840668.00	30764097536	2191.15	2145.507	2092.406	2090.471	2152.149	2146.337
2014/02/18	2228.64	2228.64	2208.65	2218.86	30945788.00	29385164800	2199.342	2159.839	2102.289	2092.896	2152.358	2147.895
2014/02/19	2216.63	2226.31	2199.54	2215.41	30206454.00	25643104256	2204.516	2173.173	2111.721	2094.824	2152.515	2149.715
2014/02/20	2219.16	2232.10	2191.30	2194.69	34081260.00	28425113600	2210.856	2185.321	2119.912	2096.037	2151.767	2151.22
2014/02/21	2190.40	2195.66	2154.74	2171.70	23069564.00	19597012992	2205.682	2192.659	2128.591	2097.3	2150.882	2152.599
2014/02/24	2158.99	2158.99	2112.42	2134.28	26284916.00	22673078272	2186.988	2189.069	2135.768	2099.683	2149.589	2153.638
2014/02/25	2137.09	2146.39	2058.42	2068.51	29056696.00	26882228224	2156.918	2178.13	2138.633	2099.398	2147.033	2154.143
2014/02/26	2060.33	2075.70	2039.99	2075.07	22455584.00	19257098240	2128.85	2166.683	2138.831	2099.606	2144.637	2154.799
2014/02/27	2082.92	2107.33	2065.17	2066.43	27631916.00	24691156992	2103.198	2157.027	2138.375	2100.217	2141.526	2155.036
2014/02/28	2062.99	2092.00	2040.48	2090.58	22258260.00	19746318336	2086.974	2146.328	2138.238	2102.83	2138.499	2155.302
2014/03/03	2093.67	2128.02	2087.95	2127.66	24773952.00	23112859648	2085.65	2136.319	2140.913	2107.044	2135.948	2155.841
2014/03/04	2116.63	2125.63	2100.43	2122.79	23355840.00	21835776000	2096.506	2126.712	2143.275	2110.43	2134.597	2156.374
2014/03/05	2127.44	2130.21	2098.52	2102.03	22030922.00	20189702144	2101.898	2115.374	2144.273	2112.939	2132.173	2156.637
2014/03/06	2100.32	2110.12	2071.13	2103.18	20483276.00	17751721984	2109.248	2106.223	2145.772	2115.349	2128.986	2156.834
2014/03/07	2100.46	2114.86	2083.08	2093.75	20111194.00	17808967680	2109.882	2098.428	2145.543	2118.536	2125.787	2156.752
2014/03/10	2076.99	2076.99	2009.20	2012.91	24164010.00	19959103488	2086.932	2086.291	2137.68	2119.276	2121.35	2155.969
2014/03/11	2005.37	2018.08	1987.61	2003.92	17888632.00	15353344000	2063.158	2079.832	2128.981	2119.033	2116.687	2155.211
