'000932'	中证消费	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	5336.12	5397.88	5332.48	5359.19	4425501.00	7070641664	5409.096	5453.949	5494.893	5557.706	5618.504	5561.707
2014/01/09	5338.94	5422.31	5290.54	5301.16	4930590.00	7572897792	5361.04	5434.827	5475.753	5546.667	5606.821	5560.49
2014/01/10	5274.96	5324.87	5273.16	5283.28	4125892.00	6280326656	5320.734	5420.89	5456.225	5532.324	5594.988	5558.822
2014/01/13	5290.71	5332.75	5261.71	5279.73	3647470.00	6071778304	5311.466	5399.69	5437.389	5517.745	5582.736	5558.207
2014/01/14	5279.76	5347.73	5269.22	5345.98	4061787.00	6343992320	5313.868	5383.748	5427.345	5512.327	5568.021	5558.529
2014/01/15	5334.11	5348.86	5296.78	5342.29	4062719.00	5870606336	5310.488	5359.792	5418.543	5502.798	5554.216	5559.864
2014/01/16	5339.81	5386.14	5333.45	5369.76	4157489.00	6817173504	5324.208	5342.624	5411.262	5490.884	5544.506	5560.966
2014/01/17	5354.63	5354.81	5240.61	5247.99	3590165.00	5667369472	5317.15	5318.942	5400.776	5475.208	5533.846	5560.071
2014/01/20	5253.70	5292.81	5185.97	5218.90	4159070.00	6591943680	5304.984	5308.225	5390.013	5458.782	5525.301	5558.896
2014/01/21	5203.52	5258.93	5203.52	5232.18	3525875.00	5352678400	5282.224	5298.046	5380.163	5441.742	5517.757	5557.728
2014/01/22	5234.25	5376.99	5229.06	5376.73	5625455.00	8924009472	5289.112	5299.8	5376.875	5429.862	5513.756	5558.25
2014/01/23	5391.92	5426.53	5361.09	5370.18	5444797.00	8438165504	5289.196	5306.702	5370.765	5419.403	5508.483	5559.49
2014/01/24	5363.85	5403.22	5351.91	5394.08	5521629.00	8041107456	5318.414	5317.782	5369.336	5410.077	5506.199	5560.833
2014/01/27	5371.05	5390.16	5333.93	5349.62	6316657.00	9751819264	5344.558	5324.771	5362.23	5399.849	5503.681	5562.159
2014/01/28	5339.37	5358.62	5257.40	5282.99	4925639.00	7414832640	5354.72	5318.472	5351.11	5391.054	5499.891	5562.29
2014/01/29	5298.76	5315.33	5212.02	5229.57	5231170.00	7693248000	5325.288	5307.2	5333.496	5381.429	5494.49	5561.63
2014/01/30	5220.86	5220.86	5120.95	5135.07	3892802.00	5940145664	5278.266	5283.731	5313.178	5368.751	5488.369	5559.17
2014/02/07	5113.82	5206.23	5096.84	5205.29	3745973.00	5590773760	5240.508	5279.461	5299.202	5360.338	5484.575	5557.06
2014/02/10	5220.17	5334.18	5219.74	5331.40	6388021.00	9283480576	5236.864	5290.711	5299.468	5356.912	5484.047	5556.104
2014/02/11	5330.04	5385.56	5312.74	5362.86	6781932.00	10042667008	5252.838	5303.779	5300.913	5354.701	5482.827	5555.402
2014/02/12	5366.45	5396.42	5322.15	5395.58	6994311.00	9004666880	5286.04	5305.664	5302.732	5353.138	5480.771	5554.856
2014/02/13	5389.44	5417.78	5349.81	5352.66	6937915.00	9929852928	5329.558	5303.912	5305.307	5348.48	5479.446	5553.168
2014/02/14	5348.44	5462.03	5347.98	5460.89	6220298.00	9890345984	5380.678	5310.593	5314.188	5349.755	5478.626	5552.582
2014/02/17	5487.31	5536.65	5470.98	5536.26	7860991.00	13218120704	5421.65	5329.257	5327.014	5351.239	5477.43	5552.926
2014/02/18	5528.36	5528.36	5459.52	5473.77	7314659.00	11007311872	5443.832	5348.335	5333.403	5350.185	5473.049	5553.181
2014/02/19	5465.20	5528.41	5456.04	5504.55	7129394.00	10685261824	5465.626	5375.833	5341.517	5347.608	5470.406	5554.495
2014/02/20	5513.62	5543.79	5448.61	5484.09	7642714.00	10734309376	5491.912	5410.735	5347.233	5345.697	5467.259	5554.99
2014/02/21	5469.59	5488.30	5411.81	5437.17	5512032.00	7973001728	5487.168	5433.923	5356.692	5344.109	5464.068	5555.237
2014/02/24	5410.44	5410.44	5314.66	5371.33	5905244.00	8390166528	5454.182	5437.916	5364.313	5345.617	5460.123	5554.861
2014/02/25	5382.90	5406.52	5157.91	5179.83	6951485.00	10451856384	5395.394	5419.613	5361.696	5340.479	5453.096	5552.964
2014/02/26	5149.96	5184.51	5100.27	5173.90	5276198.00	7523309056	5329.264	5397.445	5351.555	5334.303	5446.004	5551.215
2014/02/27	5184.43	5199.90	5112.02	5117.55	5948525.00	8425635840	5255.956	5373.934	5338.923	5328.183	5437.425	5548.347
2014/02/28	5100.79	5217.94	5097.87	5217.17	5275937.00	7704503296	5211.956	5349.562	5330.078	5325.979	5429.151	5546.083
2014/03/03	5205.73	5312.99	5198.32	5312.85	6012081.00	9001117696	5200.26	5327.221	5328.239	5327.083	5422.414	5545.094
