'000933'	中证医药	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	6611.40	6666.67	6600.60	6643.48	3122366.00	6121149440	6644.68	6610.494	6557.229	6538.534	6500.766	6579.282
2014/01/09	6632.41	6705.91	6597.99	6604.95	3642540.00	7537537024	6617.028	6613.36	6564.339	6544.764	6497.489	6578.449
2014/01/10	6587.46	6617.05	6476.99	6480.21	3180525.00	6401964544	6573.15	6607.795	6562.646	6544.86	6492.837	6576.199
2014/01/13	6480.95	6522.30	6400.98	6432.42	2865535.00	5754738688	6551.46	6592.471	6557.229	6541.23	6487.3	6574.763
2014/01/14	6429.07	6497.09	6383.30	6495.92	2670866.00	5384601088	6531.396	6585.885	6560.327	6546.586	6480.237	6574.209
2014/01/15	6494.43	6580.74	6488.69	6578.82	2811085.00	5750456832	6518.464	6581.572	6564.735	6550.042	6474.923	6575.374
2014/01/16	6581.64	6585.66	6522.25	6527.64	2412954.00	5012332032	6503.002	6560.015	6564.658	6548.848	6470.786	6574.767
2014/01/17	6523.26	6533.03	6430.12	6434.63	2228929.00	4509366784	6493.886	6533.518	6563.212	6544.41	6465.37	6572.188
2014/01/20	6411.61	6440.27	6281.81	6341.63	2476300.00	5472160768	6475.728	6513.594	6559.606	6537.251	6461.405	6567.813
2014/01/21	6335.48	6390.43	6334.91	6373.98	2128407.00	4389874688	6451.34	6491.368	6547.902	6530.909	6459.473	6564.663
2014/01/22	6387.25	6513.66	6383.41	6512.43	3080159.00	6310848000	6438.062	6478.263	6544.378	6530.907	6461.181	6562.859
2014/01/23	6511.96	6531.15	6482.57	6503.40	2829995.00	5923548672	6433.214	6468.108	6540.734	6532.262	6461.302	6561.474
2014/01/24	6497.34	6579.90	6487.85	6572.76	3582940.00	7713061376	6460.84	6477.363	6542.579	6534.218	6464.478	6561.421
2014/01/27	6557.12	6564.22	6493.05	6495.93	3051332.00	6745335296	6491.7	6483.714	6538.092	6532.724	6465.868	6561.067
2014/01/28	6520.87	6560.01	6502.27	6539.25	3485715.00	7204047360	6524.754	6488.047	6536.966	6536.233	6469.1	6559.814
2014/01/29	6556.80	6586.28	6537.74	6586.28	3042039.00	6151190016	6539.524	6488.793	6535.183	6539.421	6472.938	6558.966
2014/01/30	6576.48	6596.94	6546.78	6569.81	2431053.00	4810330112	6552.806	6493.01	6526.513	6540.775	6478.028	6556.482
2014/02/07	6534.19	6558.48	6495.44	6557.76	2881898.00	5989364224	6549.806	6505.323	6519.42	6543.916	6484.649	6553.362
2014/02/10	6588.27	6773.50	6588.27	6770.81	5394138.00	11062090752	6604.782	6548.241	6530.917	6555.818	6496.063	6553.043
2014/02/11	6783.96	6851.21	6755.40	6798.99	5288781.00	10958613504	6656.73	6590.742	6541.055	6562.182	6505.261	6552.308
2014/02/12	6815.21	6856.45	6759.48	6855.74	5330313.00	9686319104	6710.622	6625.073	6551.668	6571.277	6514.057	6551.969
2014/02/13	6839.06	6852.61	6727.15	6729.30	5120319.00	9506955264	6742.52	6647.663	6557.885	6576.377	6522.459	6550.609
2014/02/14	6732.04	6846.12	6732.04	6846.12	4098769.00	7782184960	6800.192	6674.999	6576.181	6586.719	6531.297	6550.379
2014/02/17	6864.14	6925.54	6845.79	6925.54	5046140.00	10048740352	6831.138	6717.96	6600.837	6598.048	6540.632	6551.102
2014/02/18	6931.34	6947.86	6898.58	6934.14	6068535.00	11635318784	6858.168	6757.449	6622.748	6610.46	6549.126	6553.632
2014/02/19	6924.39	7014.70	6899.57	6974.12	5566590.00	10814994432	6881.844	6796.233	6642.513	6622.199	6558.805	6557.631
2014/02/20	6986.11	6990.23	6888.99	6894.40	4929657.00	9177954304	6914.864	6828.692	6660.851	6627.239	6566.592	6560.128
2014/02/21	6892.95	6924.75	6834.04	6877.70	3772769.00	7344068608	6921.18	6860.686	6683.004	6633.176	6574.416	6563.063
2014/02/24	6852.64	6923.46	6777.45	6920.54	5444225.00	10869201920	6920.18	6875.659	6711.95	6645.832	6583.77	6566.33
2014/02/25	6924.99	6999.29	6721.67	6749.82	6989095.00	13053071360	6883.316	6870.742	6730.742	6650.951	6590.227	6567.53
2014/02/26	6720.22	6785.39	6620.95	6784.55	4719704.00	8746607616	6845.402	6863.623	6744.348	6655.653	6597.093	6568.855
2014/02/27	6796.17	6821.70	6554.07	6568.43	5362845.00	10207479808	6780.208	6847.536	6747.6	6654.436	6599.6	6567.771
2014/02/28	6528.41	6597.50	6440.27	6593.34	4016364.00	8071781376	6723.336	6822.258	6748.628	6658.207	6601.533	6566.925
2014/03/03	6589.98	6670.17	6571.32	6666.56	4000045.00	7684109312	6672.54	6796.36	6757.16	6666.011	6603.621	6568.123
2014/03/04	6653.85	6654.64	6548.11	6614.98	4089741.00	7643447296	6645.572	6764.444	6760.946	6669.98	6608.283	6568.931
2014/03/05	6624.06	6641.71	6531.30	6545.50	3497806.00	6398819840	6597.762	6721.582	6758.908	6668.869	6609.456	6569.981
2014/03/06	6537.71	6550.21	6438.30	6499.81	4056871.00	8105933824	6584.038	6682.123	6755.408	6667.942	6608.395	6570.265
2014/03/07	6488.12	6610.16	6482.44	6573.27	4255487.00	8398997504	6580.024	6651.68	6756.183	6672.563	6608.487	6570.405
2014/03/10	6536.26	6536.26	6407.37	6420.41	4014459.00	7408133632	6530.794	6601.667	6738.663	6675.189	6606.22	6569.737
2014/03/11	6413.25	6492.85	6412.76	6490.14	3267129.00	6128257536	6505.826	6575.699	6723.221	6679.061	6604.985	6569.73
2014/03/12	6492.92	6548.76	6424.27	6489.79	3826763.00	6936609280	6494.684	6546.223	6704.923	6678.306	6604.607	6569.521
2014/03/13	6490.11	6586.71	6485.47	6572.50	3399083.00	6765148160	6509.222	6546.63	6697.083	6680.61	6606.436	6570.212
2014/03/14	6543.22	6561.55	6462.41	6506.56	3202026.00	5974195712	6495.88	6537.952	6680.105	6678.403	6606.311	6570.776
2014/03/17	6523.13	6600.55	6504.58	6599.01	3543828.00	6718969344	6531.6	6531.197	6663.778	6681.839	6607.281	6572.496
2014/03/18	6605.59	6651.95	6600.64	6617.04	4334150.00	8304305152	6556.98	6531.403	6647.923	6684.432	6610.333	6574.278
2014/03/19	6601.50	6602.79	6518.48	6551.80	3664274.00	7092454912	6569.382	6532.033	6626.808	6683.283	6611.352	6575.097
2014/03/20	6540.18	6573.90	6394.24	6394.77	3772578.00	7025295872	6533.836	6521.529	6601.826	6677.448	6609.111	6574.169
2014/03/21	6365.19	6497.28	6316.33	6494.32	3610006.00	6540018176	6531.388	6513.634	6582.657	6675.333	6609.625	6574.727
2014/03/24	6488.07	6495.15	6451.91	6476.57	3719631.00	6418846208	6506.9	6519.25	6560.458	6665.525	6610.672	6574.548
2014/03/25	6466.65	6492.72	6434.02	6462.26	3397017.00	5669911040	6475.944	6516.462	6546.081	6654.301	6608.242	6572.798
2014/03/26	6500.98	6586.59	6500.98	6535.27	3659393.00	6404425216	6472.638	6521.01	6533.617	6643.619	6607.448	6571.618
2014/03/27	6528.35	6529.55	6439.83	6439.83	3768300.00	6957716480	6481.65	6507.743	6527.187	6633.97	6605.173	6569.973
2014/03/28	6441.93	6468.56	6319.68	6342.26	3377114.00	6038967808	6451.238	6491.313	6514.632	6617.174	6601.947	6566.635
2014/03/31	6340.65	6376.64	6274.88	6317.89	2374758.00	4512749568	6419.502	6463.201	6497.199	6596.919	6597.484	6562.169
2014/04/01	6310.80	6364.59	6309.61	6363.86	2462365.00	4757478912	6399.822	6437.883	6484.643	6577.91	6594.185	6557.986
2014/04/02	6366.97	6373.56	6296.49	6317.03	2634333.00	5142739968	6356.174	6414.406	6473.219	6556.007	6589.103	6553.349
2014/04/03	6324.18	6343.87	6284.14	6304.25	2468639.00	4638649344	6329.058	6405.354	6463.441	6536.335	6581.787	6548.678
2014/04/04	6295.88	6354.78	6278.11	6354.19	2392290.00	4537149952	6331.444	6391.341	6452.487	6518.885	6576.03	6545.117
2014/04/08	6335.77	6472.66	6323.04	6472.66	3895347.00	7170085888	6362.398	6390.95	6455.1	6503.956	6574.894	6541.842
2014/04/09	6466.82	6513.96	6449.41	6512.26	3814442.00	6879812608	6392.078	6395.95	6456.206	6496.037	6573.494	6539.337
2014/04/10	6511.66	6529.27	6480.95	6512.74	3827619.00	6972021248	6431.22	6393.697	6457.354	6486.977	6571.315	6536.041
2014/04/11	6511.94	6582.15	6505.07	6563.14	3772056.00	7708736512	6482.998	6406.028	6456.885	6486.8	6570.618	6534.054
2014/04/14	6565.71	6581.36	6540.64	6576.51	3119010.00	5916972032	6527.462	6429.453	6460.383	6486.239	6572.223	6532.53
2014/04/15	6565.07	6565.07	6515.71	6524.29	3447590.00	6246376960	6537.788	6450.093	6456.647	6481.497	6573.754	6530.527
2014/04/16	6518.75	6531.98	6476.93	6506.16	3026177.00	5158142976	6536.568	6464.323	6451.103	6477.87	6573.925	6527.081
2014/04/17	6515.08	6536.02	6479.27	6479.83	3203904.00	5140909568	6529.986	6480.603	6447.504	6475.681	6572.275	6523.599
2014/04/18	6458.71	6491.60	6432.58	6486.42	2655312.00	4570400256	6514.642	6498.82	6452.087	6475.234	6571.588	6521.187
2014/04/21	6435.06	6511.54	6403.80	6405.87	2869064.00	5266010112	6480.514	6503.988	6447.665	6469.654	6571.109	6518.239
2014/04/22	6383.29	6409.88	6281.15	6343.81	2849577.00	5596098560	6444.418	6491.103	6441.026	6467.101	6571.145	6516.275
2014/04/23	6338.67	6366.36	6306.48	6328.39	2723446.00	5055210496	6408.864	6472.716	6434.333	6461.709	6570.385	6514.929
2014/04/24	6306.50	6311.31	6241.15	6246.05	2443359.00	4474929152	6362.108	6446.047	6419.872	6453.584	6565.945	6513.563
2014/04/25	6241.16	6250.31	6139.45	6147.55	2953586.00	5541508608	6294.334	6404.488	6405.258	6439.419	6560.015	6510.658
2014/04/28	6123.98	6127.57	5978.55	5989.22	3469970.00	6035892224	6211.004	6345.759	6387.606	6422.175	6550.289	6507.383
2014/04/29	5980.21	6063.01	5978.76	6060.42	2495585.00	4272744704	6154.326	6299.372	6374.732	6404.222	6543.03	6504.449
2014/04/30	6068.07	6136.19	6067.22	6131.74	2204813.00	4110033408	6114.996	6261.93	6363.126	6388.045	6536.239	6502.669
2014/05/05	6118.96	6174.05	6106.51	6167.43	2278445.00	3762480128	6099.272	6230.69	6355.646	6375.233	6529.258	6501.098
2014/05/06	6146.02	6224.11	6142.46	6192.50	2757057.00	4943313920	6108.262	6201.298	6350.059	6368.491	6522.969	6500.499
2014/05/07	6179.25	6182.82	6111.05	6112.94	2273363.00	3912563456	6133.006	6172.005	6337.997	6355.778	6515.556	6500.103
2014/05/08	6102.42	6172.10	6097.78	6109.64	2355003.00	4001588224	6142.85	6148.588	6319.846	6343.547	6504.536	6500.3
2014/05/09	6117.53	6137.22	6050.01	6077.99	2370823.00	4249637376	6132.1	6123.548	6298.132	6330.738	6492.52	6498.89
2014/05/12	6113.91	6174.03	6091.72	6172.10	2962539.00	5476995072	6133.034	6116.153	6281.1	6318.632	6481.125	6497.591
2014/05/13	6174.64	6175.98	6139.02	6157.63	2221135.00	3874565632	6126.06	6117.161	6260.825	6309.226	6471.598	6497.028
2014/05/14	6159.27	6175.50	6144.66	6163.85	1721093.00	3073369344	6136.242	6134.624	6240.191	6303.279	6460.227	6495.762
2014/05/15	6160.25	6160.25	6059.25	6072.78	2122951.00	3721251328	6128.87	6135.86	6217.616	6295.108	6446.014	6493.323
2014/05/16	6066.83	6073.15	5991.39	6030.67	2009286.00	3414435840	6119.406	6125.753	6193.841	6284.002	6430.956	6490.042
2014/05/19	6012.85	6012.85	5921.76	5954.35	2132240.00	3841890304	6075.856	6104.445	6167.567	6271.913	6413.96	6486.382
2014/05/20	5965.22	6015.02	5956.07	5966.79	2208677.00	3404224768	6037.688	6081.874	6141.586	6260.664	6398.5	6482.546
2014/05/21	5949.58	6010.58	5924.97	6010.51	1706691.00	2826029312	6007.02	6071.631	6121.818	6249.208	6384.046	6479.231
2014/05/22	6008.48	6078.73	6005.72	6021.94	2321402.00	3951256576	5996.852	6062.861	6105.725	6234.184	6369.07	6476.42
2014/05/23	6024.27	6083.19	6024.27	6078.21	2128219.00	3723532544	6006.36	6062.883	6093.215	6219.716	6357.876	6474.052
2014/05/26	6109.87	6190.84	6107.60	6181.13	3425571.00	6020287488	6051.716	6063.786	6089.97	6208.662	6347.819	6472.457
2014/05/27	6175.31	6187.90	6145.12	6151.09	2410440.00	4055391744	6088.576	6063.132	6090.146	6194.927	6340.864	6470.232
2014/05/28	6145.96	6199.43	6134.33	6197.54	2436648.00	4304368640	6125.982	6066.501	6100.563	6182.295	6334.267	6467.9
2014/05/29	6208.01	6265.30	6175.21	6179.50	2930072.00	5388909056	6157.494	6077.173	6106.517	6170.802	6326.149	6464.885
2014/05/30	6179.06	6195.14	6144.70	6181.34	2311550.00	4174823424	6178.12	6092.24	6108.997	6159.974	6318.922	6463.603
2014/06/03	6186.26	6210.14	6184.62	6186.47	2142040.00	3709360640	6179.188	6115.452	6109.948	6150.196	6312.938	6461.197
