'000934'	中证金融	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	3253.04	3290.12	3237.70	3261.08	20667178.00	16901360640	3292.234	3318.199	3371.395	3442.844	3462.433	3459.718
2014/01/09	3253.83	3291.07	3238.66	3243.16	19891196.00	16310114304	3265.516	3308.881	3357.615	3433.159	3458.345	3457.971
2014/01/10	3234.20	3243.60	3212.06	3226.60	19657512.00	14946162688	3248.758	3303.015	3343.763	3422.335	3454.205	3456.054
2014/01/13	3230.94	3250.60	3200.74	3213.45	20009688.00	15438502912	3238.666	3289.471	3329.306	3411.2	3449.461	3454.424
2014/01/14	3212.20	3242.57	3193.64	3231.29	18095120.00	13819543552	3235.116	3278.301	3317.636	3398.803	3444.333	3453.58
2014/01/15	3227.05	3228.86	3187.55	3204.95	17282756.00	13039910912	3223.89	3258.062	3305.375	3385.59	3439.573	3453.29
2014/01/16	3206.87	3240.32	3192.33	3216.02	19229580.00	15918304256	3218.462	3241.989	3293.374	3371.629	3434.975	3453.114
2014/01/17	3203.08	3206.13	3171.93	3184.49	18391068.00	14683400192	3210.04	3229.399	3282.02	3356.892	3430.44	3451.911
2014/01/20	3174.38	3188.68	3158.60	3167.01	13888959.00	10742605824	3200.752	3219.709	3274.796	3342.793	3425.635	3451.037
2014/01/21	3174.39	3224.50	3174.39	3202.43	16500003.00	13390326784	3194.98	3215.048	3269.236	3330.308	3421.527	3450.526
2014/01/22	3206.98	3291.94	3201.88	3285.30	29272964.00	23045959680	3211.05	3217.47	3267.834	3320.086	3417.748	3450.883
2014/01/23	3278.39	3284.32	3241.44	3246.35	21788728.00	17642473472	3217.116	3217.789	3263.335	3311.007	3412.755	3451.631
2014/01/24	3232.38	3292.00	3227.12	3264.92	26956496.00	21132603392	3233.202	3221.621	3262.318	3303.049	3408.774	3452.139
2014/01/27	3242.24	3242.24	3204.29	3210.35	23060584.00	19392485376	3241.87	3221.311	3255.391	3293.308	3403.185	3452.051
