'399908'	300 能源	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	1752.57	1764.28	1726.00	1729.19	2690444.00	1922753152	1765.602	1797.324	1849.14	1905.756	1950.385	1952.655
2014/01/09	1744.33	1753.40	1730.33	1737.83	4017966.00	2841482240	1751.118	1785.912	1837.911	1896.636	1946.107	1951.046
2014/01/10	1734.89	1745.78	1721.87	1724.15	4815202.00	3567444224	1738.016	1777.127	1826.071	1886.011	1941.293	1949.364
2014/01/13	1723.92	1730.18	1697.00	1704.84	3503096.00	2445087232	1729.11	1765.069	1814.313	1875.285	1936.282	1947.593
2014/01/14	1696.07	1729.74	1691.66	1720.92	4744456.00	3206948096	1723.386	1755.24	1805.026	1865.846	1930.962	1946.209
2014/01/15	1715.18	1719.06	1703.69	1713.34	3003972.00	2089814528	1720.216	1742.909	1795.608	1855.464	1925.46	1945.116
2014/01/16	1713.10	1730.67	1704.93	1716.52	3009465.00	2182723584	1715.954	1733.536	1786.291	1844.643	1920.297	1944.062
2014/01/17	1709.83	1709.95	1687.76	1689.81	3660045.00	2587322624	1709.086	1723.551	1776.111	1833.025	1915.458	1942.44
2014/01/20	1685.34	1685.34	1656.84	1668.11	2283060.00	1694804480	1701.74	1715.425	1767.373	1821.621	1910.667	1940.835
2014/01/21	1668.98	1688.44	1668.98	1682.82	2104981.00	1623278464	1694.12	1708.753	1759.006	1810.905	1906.078	1939.338
2014/01/22	1682.97	1718.38	1682.36	1717.97	3534899.00	2543373312	1695.046	1707.631	1752.478	1801.97	1902.084	1938.219
2014/01/23	1714.76	1718.99	1699.97	1700.77	2851574.00	2162457088	1691.896	1703.925	1744.918	1793.249	1897.295	1937.343
2014/01/24	1698.76	1725.19	1695.27	1718.73	3662071.00	2675983360	1697.68	1703.383	1740.255	1785.175	1893.012	1936.486
2014/01/27	1706.29	1711.50	1691.45	1701.21	3058614.00	2254218496	1704.3	1703.02	1734.044	1777.215	1888.575	1935.385
2014/01/28	1705.83	1713.03	1686.35	1691.23	2274999.00	1763317760	1705.982	1700.051	1727.646	1770.034	1883.726	1933.789
