Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	2240.0000	2265.0000	2220.3999	2223.6001	715698.00	482055225344	87542	2249.28	2286.82	2317.36	2363.84	2373.64	2357.222
2014/01/10	2224.0000	2231.3999	2206.6001	2218.0000	686705.00	456731852800	83558	2232.4	2279.22	2307.63	2356.153	2370.423	2356.497
2014/01/13	2223.8000	2228.8000	2190.2000	2204.3999	623400.00	412887842816	80680	2225.12	2266.98	2297.14	2347.733	2366.69	2355.847
2014/01/14	2197.0000	2224.8000	2186.2000	2217.6001	666190.00	440746967040	70037	2220.96	2256.32	2289.74	2340.54	2362.543	2355.632
2014/01/15	2220.2000	2221.8000	2196.0000	2211.6001	515463.00	341613576192	57917	2215.04	2242.98	2282.43	2332.54	2358.637	2355.587
2014/01/16	2217.6001	2232.6001	2203.3999	2211.2000	497659.00	330827497472	27787	2212.56	2230.92	2274.58	2323.507	2355.177	2355.947
2014/01/17	2213.6001	2213.6001	2181.6001	2182.8000	112982.00	74369687552	0	2205.52	2218.96	2266.67	2313.473	2351.467	2355.445
2014/01/20	2199.6001	2200.0000	2172.8000	2184.6001	570355.00	374181199872	73155	2201.56	2213.34	2261.44	2304.06	2348.533	2355.047
2014/01/21	2184.0000	2217.2000	2182.3999	2206.3999	648824.00	428885770240	71828	2199.32	2210.14	2256.46	2295.56	2345.913	2355.018
2014/01/22	2206.0000	2256.3999	2205.2000	2254.6001	734205.00	492532105216	75374	2207.92	2211.48	2253.92	2288.647	2344.02	2355.54
2014/01/23	2255.0000	2256.0000	2236.0000	2244.2000	520148.00	350378524672	72540	2214.52	2213.54	2250.18	2282.753	2341.56	2356.212
2014/01/24	2236.6001	2271.3999	2230.2000	2251.8000	707263.00	478280613888	71019	2228.32	2216.92	2248.07	2277.393	2339.407	2356.908
2014/01/27	2235.0000	2242.0000	2216.2000	2227.0000	528237.00	353230290944	71469	2236.8	2219.18	2243.08	2271.153	2336.667	2357.425
2014/01/28	2225.8000	2248.0000	2217.6001	2230.8000	569614.00	381143121920	70184	2241.68	2220.5	2238.41	2266.66	2334.113	2357.313
2014/01/29	2238.0000	2247.0000	2232.0000	2240.0000	466626.00	313316409344	68991	2238.76	2223.34	2233.16	2262.733	2331.757	2357.313
2014/01/30	2233.0000	2236.6001	2196.2000	2199.2000	429342.00	285775855616	68764	2229.76	2222.14	2226.53	2257.1	2329.23	2356.758
2014/02/07	2195.0000	2216.3999	2178.2000	2214.6001	458473.00	302370979840	70208	2222.32	2225.32	2222.14	2252.887	2326.983	2356.223
2014/02/10	2221.6001	2270.0000	2221.2000	2260.3999	586644.00	396948340736	67395	2229	2232.9	2223.12	2251.927	2326.137	2356.24
2014/02/11	2262.0000	2289.2000	2258.3999	2277.3999	599468.00	408842403840	63671	2238.32	2240	2225.07	2250.973	2325.44	2356.34
2014/02/12	2285.0000	2290.6001	2275.2000	2284.0000	476456.00	326153437184	61495	2247.12	2242.94	2227.21	2250.26	2324.63	2356.305
2014/02/13	2284.0000	2291.0000	2271.2000	2273.3999	495048.00	338715213824	59075	2261.96	2245.86	2229.7	2248.74	2324.28	2355.68
