'000300'	沪深300 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2005/01/04	994.76	994.76	980.65	982.79	7412869.00	4431975936						
2005/01/05	981.57	997.32	979.87	992.56	7119109.00	4529206784						
2005/01/06	993.33	993.78	980.33	983.17	6288028.00	3921015040						
2005/01/07	983.04	995.71	979.81	983.95	7298694.00	4737467904						
2005/01/10	983.76	993.95	979.78	993.87	5791697.00	3762930944	987.268					
2005/01/11	994.18	999.55	991.09	997.13	5849079.00	3704076032	990.136					
2005/01/12	996.65	996.97	989.25	996.74	5014525.00	3093297920	990.972					
2005/01/13	996.07	999.47	992.69	996.87	6044065.00	3842171904	993.712					
2005/01/14	996.61	1006.46	987.23	988.30	7297842.00	4162919936	994.582					
2005/01/17	979.11	981.52	965.07	967.45	7288188.00	4249807104	989.298	988.283				
2005/01/18	967.37	974.87	960.29	974.68	7311847.00	4117944064	984.808	987.472				
2005/01/19	974.33	974.33	965.25	967.21	6338090.00	3427951104	978.902	984.937				
2005/01/20	963.21	963.21	952.23	956.24	7727106.00	4399349248	970.776	982.244				
2005/01/21	954.46	984.27	943.43	982.60	14450059.00	8152086016	969.636	982.109				
2005/01/24	1001.85	1001.85	986.23	998.13	14359461.00	8360160256	975.772	982.535				
2005/01/25	995.63	997.95	985.23	997.77	9862529.00	6157022208	980.39	982.599				
2005/01/26	995.78	999.47	988.47	989.92	7663290.00	4719438848	984.932	981.917				
2005/01/27	987.34	987.70	973.77	974.63	6945365.00	4094396928	988.61	979.693				
2005/01/28	974.63	975.62	965.20	969.20	5748807.00	3280950016	985.93	977.783				
2005/01/31	965.78	965.78	953.14	954.87	6788706.00	3863571968	977.278	976.525	982.404			
2005/02/01	953.33	965.47	952.74	955.95	7433066.00	4275706112	968.914	974.652	981.062			
2005/02/02	956.70	1006.93	956.70	1006.91	17057338.00	10202902528	972.312	978.622	981.779			
2005/02/03	1005.56	1014.18	992.15	993.21	16974540.00	10057310208	976.028	982.319	982.281			
2005/02/04	992.25	1021.02	989.93	1016.85	15736215.00	9549871104	985.558	985.744	983.927			
2005/02/16	1023.32	1033.24	1018.48	1023.58	12131293.00	7438168064	999.3	988.289	985.412			
2005/02/17	1024.43	1024.43	1010.47	1020.60	8968297.00	5513061888	1012.23	990.572	986.586			
2005/02/18	1020.12	1021.19	1005.63	1006.05	8139939.00	4817732096	1012.058	992.185	987.051			
2005/02/21	1006.69	1025.65	1006.69	1025.63	9886094.00	6052395008	1018.542	997.285	988.489			
2005/02/22	1026.83	1048.67	1024.52	1046.74	17937840.00	10922774528	1024.52	1005.039	991.411			
2005/02/23	1046.81	1049.60	1036.62	1043.93	18696928.00	11231938560	1028.59	1013.945	995.235	992.918		
2005/02/24	1042.25	1045.95	1034.73	1045.46	14681788.00	8993752064	1033.562	1022.896	998.774	995.007		
2005/02/25	1046.27	1059.48	1045.98	1046.76	18170004.00	11489958912	1041.704	1026.881	1002.752	996.813		
2005/02/28	1046.20	1048.27	1035.03	1039.98	12971046.00	8190099968	1044.574	1031.558	1006.938	998.707		
2005/03/01	1039.35	1042.73	1031.16	1035.93	9962090.00	6288790016	1042.412	1033.466	1009.605	1000.44		
2005/03/02	1036.36	1045.76	1021.00	1021.32	14225135.00	8971308032	1037.89	1033.24	1010.765	1001.355		
2005/03/03	1019.87	1028.40	1014.75	1027.71	9203085.00	5582812160	1034.34	1033.951	1012.261	1002.374		
2005/03/04	1027.92	1031.84	1022.17	1023.66	8173641.00	5383865856	1029.72	1035.712	1013.948	1003.271		
2005/03/07	1024.48	1031.34	1024.48	1029.87	7932949.00	5316471808	1027.698	1036.136	1016.711	1004.371		
2005/03/08	1033.78	1049.28	1032.85	1048.98	14295793.00	9851274240	1030.308	1036.36	1020.7	1006.394		
2005/03/09	1051.26	1054.64	1041.98	1046.54	15327488.00	9877621760	1035.352	1036.621	1025.283	1009.03		
2005/03/10	1046.68	1046.68	1019.63	1022.41	13295953.00	8380547072	1034.292	1034.316	1028.606	1010.621		
2005/03/11	1021.08	1028.11	1016.93	1027.42	11476381.00	7654557184	1035.044	1032.382	1029.631	1012.628		
2005/03/14	1027.17	1041.56	1014.92	1031.02	14466088.00	10229429248	1035.274	1031.486	1031.522	1015.121		
2005/03/15	1030.85	1030.93	1011.64	1013.52	12007493.00	8091209216	1028.182	1029.245	1031.355	1016.152		
2005/03/16	1011.85	1012.19	995.96	1003.06	10622782.00	7153743872	1019.486	1027.419	1030.329	1016.316		
2005/03/17	1001.96	1004.82	992.12	992.86	9969011.00	6535059968	1013.576	1023.934	1028.943	1016.152		
2005/03/18	991.88	996.39	975.70	978.66	9652059.00	6314991104	1003.824	1019.434	1027.573	1015.777		
2005/03/21	977.29	983.17	973.00	981.89	7252565.00	4594520064	993.998	1014.636	1025.386	1016.019		
2005/03/22	981.70	982.13	959.56	964.02	11375717.00	6955307008	984.098	1006.14	1021.25	1015.846		
2005/03/23	962.81	975.36	955.99	959.01	10930053.00	7092055040	975.288	997.387	1017.004	1015.984		
2005/03/24	957.43	965.06	948.53	964.80	9260714.00	6446642176	969.676	991.626	1012.971	1016.279		
2005/03/25	964.24	966.97	959.05	962.95	7107322.00	4258127104	966.534	985.179	1008.781	1014.814		
2005/03/28	961.65	961.65	948.80	960.69	6669246.00	4141656064	962.294	978.146	1004.816	1013.73		
2005/03/29	960.41	968.11	954.74	955.19	7577379.00	4842148864	960.528	972.313	1000.779	1011.675		
2005/03/30	952.71	952.71	936.37	937.03	8950163.00	5459378176	956.132	965.71	996.565	1008.79		
2005/03/31	934.84	942.36	928.33	942.20	7859445.00	4555320832	951.612	960.644	992.289	1006.176		
2005/04/01	941.43	989.90	937.55	978.14	16347504.00	10109403136	954.65	960.592	990.013	1005.246		
2005/04/04	968.49	974.06	956.12	962.16	11435093.00	7296500224	954.944	958.619	986.628	1003.13		
2005/04/05	960.54	967.74	953.58	955.59	9534536.00	6069514240	955.024	957.776	981.958	1000.092		
2005/04/06	955.59	977.85	948.94	973.66	14282421.00	9727653888	962.35	959.241	978.314	997.75	995.334	
2005/04/07	975.97	1000.26	974.30	984.73	20754212.00	13260560384	970.856	961.234	976.43	995.725	995.366	
2005/04/08	984.66	1003.69	979.52	1003.44	14762526.00	9151347712	975.916	965.283	975.231	994.281	995.547	
2005/04/11	1003.87	1008.73	992.77	995.42	15936066.00	10436232192	982.568	968.756	973.451	992.796	995.752	
2005/04/12	993.71	993.71	978.20	978.69	10226193.00	6479562240	987.188	971.106	971.709	990.888	995.664	
2005/04/13	987.95	1006.49	987.95	1000.90	16071687.00	10029600768	992.636	977.493	971.602	990.207	995.781	
2005/04/14	1004.64	1006.41	985.57	986.97	12945710.00	7813424128	993.084	981.97	971.307	988.849	995.612	
2005/04/15	982.61	982.61	971.93	974.08	10408955.00	6541675008	987.212	981.564	971.078	987.197	995.234	
2005/04/18	970.90	970.90	958.64	963.77	8598400.00	5329138176	980.882	981.725	970.172	984.993	994.682	
2005/04/19	962.91	968.86	957.91	965.88	9212623.00	5768906240	978.32	982.754	970.265	982.223	994.309	
2005/04/20	964.15	964.15	946.19	950.86	8850705.00	5300001792	968.312	980.474	969.857	979.034	994.032	
2005/04/21	948.86	955.55	938.59	943.98	9946145.00	6140644864	959.714	976.399	968.817	976.42	993.521	
2005/04/22	942.90	947.90	934.95	939.10	10691884.00	6373550080	952.718	969.965	967.624	973.476	993.052	
2005/04/25	935.99	935.99	920.16	930.07	11470478.00	6667301888	945.978	963.43	966.093	970.111	992.616	
2005/04/26	928.42	939.69	924.65	937.08	11690471.00	7029370880	940.218	959.269	965.188	967.563	991.857	
2005/04/27	938.57	938.91	925.89	926.60	10780611.00	6432844800	935.366	951.839	964.666	965.014	990.665	
2005/04/28	923.52	945.50	914.82	942.07	14343486.00	8315811840	934.984	947.349	964.659	963.321	989.737	
2005/04/29	940.80	942.45	929.81	932.39	11235419.00	6853192192	933.642	943.18	962.372	961.779	988.778	
2005/05/09	934.65	937.39	909.17	909.17	8529115.00	4889696256	929.462	937.72	959.722	959.355	987.687	
2005/05/10	905.54	913.38	892.31	913.07	10494331.00	5960908800	924.66	932.439	957.596	957.656	986.751	
2005/05/11	911.83	917.22	900.43	901.85	9042047.00	5128331776	919.71	927.538	954.006	955.751	985.868	
2005/05/12	899.96	900.06	883.51	885.82	10228720.00	6107325952	908.46	921.722	949.06	953.118	984.699	
2005/05/13	883.50	898.50	875.57	887.54	11244906.00	6228419072	899.49	916.566	943.266	950.605	982.709	
2005/05/16	885.38	885.38	869.33	875.27	8224288.00	4630088192	892.71	911.086	937.258	947.757	980.744	
2005/05/17	873.07	888.28	868.21	881.46	8772273.00	4635196928	886.388	905.524	932.396	945.3	978.487	
2005/05/18	881.14	890.40	871.82	883.19	7878610.00	4615409152	882.656	901.183	926.511	943.505	976.147	
2005/05/19	882.84	888.01	871.28	884.17	8149583.00	4263472128	882.326	895.393	921.371	941.571	973.873	
2005/05/20	883.51	891.02	879.18	882.76	7226676.00	3835474944	881.37	890.43	916.805	938.391	971.819	
2005/05/23	880.28	880.28	862.09	863.34	7279795.00	3725789952	878.984	885.847	911.784	935.097	969.114	
2005/05/24	861.19	871.76	855.58	868.45	9206929.00	4777972224	876.382	881.385	906.912	932.193	966.142	
2005/05/25	867.65	876.30	861.65	868.45	7238556.00	3742171904	873.434	878.045	902.792	928.686	963.218	
2005/05/26	867.75	872.83	854.95	857.33	6622786.00	3470051072	868.066	875.196	898.459	924.439	960.082	
2005/05/27	855.59	864.96	848.39	849.50	7749983.00	4240677120	861.414	871.392	893.979	919.308	956.794	
2005/05/30	847.63	858.46	842.10	855.61	6971583.00	3712114944	859.868	869.426	890.256	914.647	953.722	
2005/05/31	856.56	863.19	853.29	855.94	7047821.00	3601006080	857.366	866.874	886.199	910.556	950.722	
2005/06/01	855.20	857.65	836.04	837.53	7902302.00	4274074112	851.182	862.308	881.745	905.11	947.659	
2005/06/02	835.46	835.49	812.98	818.37	9508657.00	5220786176	843.39	855.728	875.56	899.49	944.17	
2005/06/03	816.54	823.86	807.96	818.03	7936056.00	4164752896	837.096	849.255	869.843	894.288	940.742	
2005/06/06	816.73	839.15	807.78	838.99	9009185.00	4685004800	833.772	846.82	866.333	890.129	937.561	
2005/06/07	841.57	858.09	835.17	837.28	13067068.00	7248577024	830.04	843.703	862.544	885.842	934.033	
2005/06/08	848.53	908.82	844.47	905.77	32907840.00	17414543360	843.688	847.435	862.74	884.339	931.687	
2005/06/09	907.56	925.36	895.03	912.60	33141840.00	17782384640	862.534	852.962	864.079	883.293	929.857	
2005/06/10	911.94	911.94	889.10	894.55	22391500.00	12006755328	877.838	857.467	864.43	881.808	927.642	
2005/06/13	894.99	900.18	877.69	892.95	15628002.00	7944058880	888.63	861.201	865.313	880.571	925.341	
2005/06/14	895.39	905.41	882.86	883.53	14343570.00	7692068864	897.88	863.96	865.417	878.786	923.174	
2005/06/15	881.20	881.24	865.13	866.83	11454055.00	6272309248	890.092	866.89	864.599	876.794	920.904	
2005/06/16	866.65	879.49	861.82	879.23	11049684.00	6115269120	883.418	872.976	864.352	874.699	919.01	
2005/06/17	883.60	888.07	876.03	880.34	14963009.00	8285454848	880.576	879.207	864.231	872.964	917.371	
2005/06/20	881.62	906.48	872.56	906.25	18992080.00	10290887680	883.236	885.933	866.377	872.867	916.111	
2005/06/21	906.30	906.30	894.38	896.16	12774784.00	6890934784	885.762	891.821	867.762	872.303	914.98	
2005/06/22	894.76	901.24	891.92	900.64	10478134.00	5882399744	892.524	891.308	869.372	872.263	914.007	
2005/06/23	900.05	904.89	892.83	893.57	9509308.00	5465028096	895.392	889.405	871.184	872.521	912.82	
2005/06/24	892.06	898.67	888.39	898.30	8918739.00	4732186112	898.984	889.78	873.624	872.88	911.742	
2005/06/27	904.20	920.64	904.20	916.04	16545401.00	8903491584	900.942	892.089	876.645	874.239	910.998	
2005/06/28	913.48	913.48	901.20	903.71	10402219.00	5536096768	902.452	894.107	879.034	874.98	910.14	
2005/06/29	906.75	907.57	898.08	898.89	10806745.00	5751996928	902.102	897.313	882.102	875.504	909.504	
2005/06/30	897.10	897.10	876.88	878.68	10855472.00	5597944832	899.124	897.258	885.117	875.321	908.446	
2005/07/01	875.93	875.93	858.37	859.49	10094597.00	5086726144	891.362	895.173	887.19	874.545	906.468	
2005/07/04	855.31	856.10	842.81	855.93	8840277.00	4026097920	879.34	890.141	888.037	874.298	904.698	
2005/07/05	853.67	856.73	845.36	849.67	7992688.00	4529674240	868.532	885.492	888.656	873.672	902.932	
2005/07/06	850.25	854.44	838.60	842.55	6898314.00	3627265024	857.264	879.683	885.495	872.809	900.747	948.04
2005/07/07	841.74	848.02	839.28	844.72	5962465.00	2901826048	850.472	874.798	882.102	872.388	898.414	946.89
2005/07/08	842.62	842.62	827.22	829.48	7221000.00	3447787008	844.47	867.916	878.848	871.721	895.514	945.531
2005/07/11	837.86	850.65	822.52	824.09	8439006.00	4092653056	838.102	858.721	875.405	870.67	892.659	944.205
2005/07/12	821.91	854.28	818.86	851.81	14989871.00	7519243776	838.53	853.531	873.819	870.533	890.544	943.104
