'000910'	300工业 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/13	1019.81	1024.63	992.28	992.46	5940652.00	3310525952						
2006/04/14	989.33	1008.84	985.56	1008.78	4605784.00	2649504000						
2006/04/17	1006.68	1020.19	1001.99	1015.60	5420112.00	3224879104						
2006/04/18	1014.80	1020.30	1009.12	1015.47	4485021.00	2726746112						
2006/04/19	1017.77	1021.78	1010.74	1021.65	5196175.00	3213860096	1010.792					
2006/04/20	1022.39	1024.50	1010.89	1017.72	6097057.00	3608657920	1015.844					
2006/04/21	1017.52	1033.25	1009.99	1028.80	6332439.00	3843918080	1019.848					
2006/04/24	1033.06	1034.70	1013.27	1017.47	7570119.00	4605301760	1020.222					
2006/04/25	1015.13	1025.27	1001.29	1020.10	6001101.00	3661659904	1021.148					
2006/04/26	1019.81	1040.86	1018.44	1039.46	8030021.00	5145863168	1024.71	1017.751				
2006/04/27	1042.74	1055.98	1035.78	1050.18	6649928.00	4271558912	1031.202	1023.523				
2006/04/28	1041.21	1063.22	1025.86	1058.52	6717647.00	4167977984	1037.146	1028.497				
2006/05/08	1068.81	1099.29	1068.81	1097.71	8043746.00	5085833216	1053.194	1036.708				
2006/05/09	1109.64	1143.83	1109.64	1137.59	10838709.00	7069428224	1076.692	1048.92				
2006/05/10	1143.62	1166.27	1133.03	1157.04	10032858.00	6823287808	1100.208	1062.459				
2006/05/11	1158.28	1188.69	1146.95	1146.95	11115925.00	7306579968	1119.562	1075.382				
2006/05/12	1144.85	1188.61	1142.39	1188.50	9996151.00	6914654208	1145.558	1091.352				
2006/05/15	1197.67	1226.66	1184.74	1226.41	12825576.00	8211731968	1171.298	1112.246				
2006/05/16	1240.53	1251.71	1185.59	1199.70	15471705.00	10104688640	1183.72	1130.206				
2006/05/17	1201.22	1219.52	1179.51	1204.63	12130897.00	7590590976	1193.238	1146.723	1082.237			
2006/05/18	1197.47	1212.26	1178.76	1204.58	9627126.00	6249336832	1204.764	1162.163	1092.843			
2006/05/19	1206.83	1238.65	1204.65	1237.56	10203105.00	6713162752	1214.576	1180.067	1104.282			
2006/05/22	1242.68	1272.62	1239.55	1257.74	11053867.00	7856024064	1220.842	1196.07	1116.389			
2006/05/23	1256.12	1256.12	1206.49	1206.80	9982048.00	6246110208	1222.262	1202.991	1125.955			
2006/05/24	1205.68	1231.98	1160.94	1185.98	8370614.00	5533248000	1218.532	1205.885	1134.172			
2006/05/25	1183.41	1198.14	1172.79	1192.92	4900959.00	3148024064	1216.2	1210.482	1142.932			
2006/05/26	1199.28	1217.69	1197.22	1217.47	6157589.00	4025454080	1212.182	1213.379	1152.365			
