'000913'	300医药 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/13	1003.67	1003.69	969.92	972.24	644803.00	464686016						
2006/04/14	967.08	1018.12	966.88	1017.89	672817.00	530223008						
2006/04/17	1015.28	1043.61	1010.03	1031.00	773206.00	607366016						
2006/04/18	1029.21	1033.93	1016.83	1023.07	483415.00	357214016						
2006/04/19	1026.08	1033.52	1011.51	1033.18	519763.00	421065984	1015.476					
2006/04/20	1034.60	1051.08	1029.66	1043.91	727128.00	683713984	1029.81					
2006/04/21	1042.12	1052.54	1035.89	1049.51	478003.00	415936992	1036.134					
2006/04/24	1049.80	1057.78	1027.82	1039.49	685250.00	497008000	1037.832					
2006/04/25	1026.80	1026.80	1011.09	1013.51	558351.00	390496000	1035.92					
2006/04/26	1017.64	1029.47	1010.63	1026.08	745768.00	509185984	1034.5	1024.988				
2006/04/27	1025.04	1030.74	1013.87	1023.79	628392.00	403024992	1030.476	1030.143				
2006/04/28	1018.38	1039.37	1008.27	1035.38	667889.00	423880000	1027.65	1031.892				
2006/05/08	1037.91	1074.24	1037.91	1073.30	793688.00	542036992	1034.412	1036.122				
2006/05/09	1080.46	1105.08	1080.46	1104.49	1142908.00	785131008	1052.608	1044.264				
2006/05/10	1108.07	1146.16	1106.44	1140.34	1000281.00	793048000	1075.46	1054.98				
2006/05/11	1140.05	1171.08	1127.04	1128.59	1258258.00	941539968	1096.42	1063.448				
2006/05/12	1124.73	1185.72	1123.65	1185.50	1345852.00	900028992	1126.444	1077.047				
2006/05/15	1204.65	1236.16	1191.47	1235.92	1603532.00	1132423040	1158.968	1096.69				
2006/05/16	1233.72	1236.81	1169.96	1180.04	1335143.00	1007924992	1174.078	1113.343				
2006/05/17	1176.75	1201.50	1162.98	1187.90	1023318.00	690062016	1183.59	1129.525	1077.256			
2006/05/18	1179.10	1192.85	1160.84	1189.32	990503.00	632252032	1195.736	1146.078	1088.11			
2006/05/19	1189.69	1233.42	1189.69	1229.47	1090938.00	750776000	1204.53	1165.487	1098.689			
2006/05/22	1230.13	1272.05	1230.13	1252.81	1151650.00	838423040	1207.908	1183.438	1109.78			
2006/05/23	1247.06	1247.06	1185.74	1187.89	1080964.00	743216000	1209.478	1191.778	1118.021			
2006/05/24	1192.72	1214.47	1141.88	1169.00	807728.00	552377984	1205.698	1194.644	1124.812			
2006/05/25	1166.60	1187.30	1159.35	1184.47	574729.00	379327008	1204.728	1200.232	1131.84			
2006/05/26	1188.69	1203.37	1188.37	1201.29	595816.00	354041984	1199.092	1201.811	1139.429			
2006/05/29	1223.29	1264.77	1191.66	1260.80	799768.00	822713984	1200.69	1204.299	1150.495			
2006/05/30	1262.53	1281.78	1254.65	1269.92	1089485.00	792609024	1217.096	1213.287	1163.315			
2006/05/31	1266.28	1275.44	1230.61	1246.88	1233488.00	928948992	1232.672	1219.185	1174.355	1124.566		
2006/06/01	1255.42	1312.21	1243.99	1306.88	1411372.00	1087245056	1257.154	1230.941	1188.51	1135.721		
2006/06/02	1326.96	1345.28	1312.65	1324.88	1694179.00	1183757056	1281.872	1240.482	1202.984	1145.954		
2006/06/05	1322.96	1344.45	1303.25	1326.69	1049031.00	746030016	1295.05	1247.87	1215.654	1155.81		
2006/06/06	1324.76	1327.91	1303.05	1311.28	723670.00	521396992	1303.322	1260.209	1225.994	1165.417		
2006/06/07	1312.30	1318.55	1236.29	1236.61	962828.00	683009024	1301.268	1266.97	1230.807	1172.198		
2006/06/08	1220.92	1248.36	1197.84	1241.51	894518.00	610384000	1288.194	1272.674	1236.453	1178.785		
2006/06/09	1238.91	1253.97	1227.78	1230.84	700751.00	460830016	1269.386	1275.629	1238.72	1184.829		
2006/06/12	1231.75	1258.29	1224.94	1256.81	532569.00	348987008	1255.41	1275.23	1239.765	1192.073		
2006/06/13	1265.95	1278.29	1246.08	1260.77	707978.00	364776000	1245.308	1274.315	1243.801	1200.315		
2006/06/14	1265.45	1270.62	1240.34	1265.12	1059728.00	587382016	1251.01	1276.139	1247.662	1208.283		
2006/06/15	1265.08	1277.75	1257.90	1263.63	682446.00	460240992	1255.434	1271.814	1251.378	1216.278		
2006/06/16	1270.30	1293.63	1267.53	1288.13	693297.00	484025984	1266.892	1268.139	1254.311	1224.703		
2006/06/19	1274.83	1336.34	1269.19	1331.84	852110.00	683776000	1281.898	1268.654	1258.262	1233.321		
2006/06/20	1330.39	1353.60	1325.79	1343.91	821966.00	670806016	1298.526	1271.917	1266.063	1241.301		
2006/06/21	1341.89	1343.05	1318.51	1330.80	583436.00	405254016	1311.662	1281.336	1274.153	1247.65		
2006/06/22	1327.16	1334.64	1318.54	1318.95	445559.00	321737984	1322.726	1289.08	1280.877	1253.995		
2006/06/23	1318.57	1331.25	1310.49	1331.22	480573.00	341576992	1331.344	1299.118	1287.374	1258.853		
2006/06/26	1336.53	1347.44	1336.53	1346.02	698301.00	536079008	1334.18	1308.039	1291.635	1262.523		
2006/06/27	1346.78	1348.19	1326.93	1328.26	501423.00	408519008	1331.05	1314.788	1294.552	1267.463		
2006/06/28	1327.77	1346.67	1319.38	1344.69	588226.00	439196000	1333.828	1322.745	1299.442	1272.69		
2006/06/29	1341.06	1366.72	1339.15	1364.02	757221.00	578499968	1342.842	1332.784	1302.299	1278.513		
2006/06/30	1363.09	1368.10	1335.22	1343.48	625997.00	454379008	1345.294	1338.319	1303.229	1282.313		
2006/07/03	1343.11	1354.04	1339.17	1348.49	492976.00	508926016	1345.788	1339.984	1304.319	1285.503		
2006/07/04	1351.19	1364.16	1341.36	1349.42	662196.00	645527040	1350.02	1340.535	1306.226	1290.887		
2006/07/05	1349.12	1354.08	1328.80	1350.79	423427.00	424076000	1351.24	1342.534	1311.935	1296.947		
2006/07/06	1353.07	1389.19	1351.95	1389.03	494842.00	524899008	1356.242	1349.542	1319.311	1303.765		
2006/07/07	1397.33	1400.00	1384.85	1385.93	809043.00	741112000	1364.732	1355.013	1327.066	1309.92		
2006/07/10	1385.53	1388.04	1366.93	1380.10	487435.00	466574016	1371.054	1358.421	1333.23	1313.897		
2006/07/11	1380.46	1396.86	1379.54	1395.82	523104.00	542940032	1380.334	1365.177	1339.983	1318.093		
2006/07/12	1394.69	1394.69	1375.46	1377.82	425703.00	444004000	1385.74	1368.49	1345.618	1322.458	1223.512	
2006/07/13	1373.53	1373.53	1295.37	1295.37	729392.00	725913984	1367.008	1361.625	1347.204	1322.074	1228.897	
2006/07/14	1288.58	1320.06	1282.47	1305.40	376077.00	367304000	1350.902	1357.817	1348.068	1321.425	1233.689	
