Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/13	979.66	983.67	976.38	978.39	125436.00	217426000						
2006/04/14	980.29	983.84	978.08	981.51	94580.00	169964992						
2006/04/17	1019.82	1019.82	977.18	980.33	3398786.00	1627320960						
2006/04/18	982.50	986.90	957.08	970.76	1747540.00	905568000						
2006/04/19	970.80	971.16	955.55	957.89	1614438.00	717256000	973.776					
2006/04/20	960.13	965.39	939.77	962.99	2001806.00	942652032	970.696					
2006/04/21	962.15	962.15	949.57	958.87	1740585.00	716348992	966.168					
2006/04/24	958.47	958.47	940.44	950.62	3268130.00	1213830016	960.226					
2006/04/25	947.08	962.32	946.87	956.61	129251.00	242878000	957.396					
2006/04/26	954.86	961.84	953.80	959.52	143355.00	244218000	957.722	965.749				
2006/04/27	959.73	973.66	959.62	968.12	149423.00	271904992	958.748	964.722				
2006/04/28	966.29	966.29	956.17	961.65	131018.00	259788000	959.304	962.736				
2006/05/08	968.89	979.92	968.01	979.34	205610.00	345528000	965.048	962.637				
2006/05/09	980.71	989.78	976.00	981.58	196181.00	360588000	970.042	963.719				
2006/05/10	981.08	981.31	975.20	979.38	214098.00	342256000	974.014	965.868				
2006/05/11	979.35	979.35	968.62	969.14	396101.00	557361024	974.218	966.483				
2006/05/12	967.16	976.11	961.17	974.04	291181.00	316951008	976.696	968				
2006/05/15	975.54	983.69	969.24	983.69	307296.00	439345984	977.566	971.307				
2006/05/16	984.99	1012.04	980.20	996.78	470122.00	1074957056	980.606	975.324				
2006/05/17	997.35	1005.53	988.01	994.11	320116.00	359169984	983.552	978.783	972.266			
2006/05/18	987.11	1006.57	987.11	1005.95	281726.00	370137984	990.914	982.566	973.644			
2006/05/19	1054.67	1094.21	1054.67	1083.46	12005772.00	3294883072	1012.798	994.747	978.742			
2006/05/22	1082.53	1082.53	1053.12	1059.76	5498643.00	1581766016	1028.012	1002.789	982.713			
2006/05/23	1056.21	1056.21	1017.42	1017.42	4170174.00	1208448000	1032.14	1006.373	985.046			
2006/05/24	1018.71	1035.41	990.24	1000.95	3355571.00	918663040	1033.508	1008.53	987.199			
2006/05/25	1001.03	1007.49	985.66	998.83	2389202.00	695532992	1032.084	1011.499	988.991			
2006/05/26	1001.66	1023.38	995.04	1021.81	2672278.00	885766016	1019.754	1016.276	992.138			
2006/05/29	1022.30	1033.12	1008.51	1031.25	2171950.00	681552000	1014.052	1021.032	996.169			
2006/05/30	1057.71	1065.91	1049.50	1052.91	2525609.00	1120470016	1021.15	1026.645	1000.984			
