'000917'	300公用 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/13	925.19	931.78	910.29	911.36	1808382.00	828201024						
2006/04/14	901.06	921.25	901.06	920.91	1714110.00	796716032						
2006/04/17	919.17	932.29	913.99	926.78	2149556.00	1063945984						
2006/04/18	928.01	931.30	923.34	926.17	1795714.00	864779008						
2006/04/19	933.64	940.68	922.82	929.78	3053316.00	1416114944	923					
2006/04/20	929.63	932.07	913.09	915.34	2168894.00	1004003968	923.796					
2006/04/21	915.02	923.75	911.25	923.75	2049963.00	981783040	924.364					
2006/04/24	925.83	928.88	908.71	912.50	2915110.00	1309728000	921.508					
2006/04/25	910.77	910.77	894.71	902.32	2336755.00	1022455040	916.738					
2006/04/26	898.03	923.81	898.03	922.97	3060629.00	1429661952	915.376	919.188				
2006/04/27	928.10	928.10	915.44	921.63	2254035.00	1045916032	916.634	920.215				
2006/04/28	915.90	931.96	910.57	930.09	2484908.00	1075250944	917.902	921.133				
2006/05/08	941.01	992.00	941.01	990.46	6073587.00	3099272960	933.494	927.501				
2006/05/09	1005.37	1022.40	1000.30	1018.63	6912381.00	3430947072	956.756	936.747				
2006/05/10	1022.45	1028.41	996.57	1018.05	5222455.00	2551906048	975.772	945.574				
2006/05/11	1016.52	1037.74	1006.11	1009.96	4729331.00	2304738048	993.438	955.036				
2006/05/12	1007.62	1042.25	1006.57	1042.25	5000870.00	2484870912	1015.87	966.886				
2006/05/15	1056.27	1098.86	1052.34	1098.37	7498340.00	3969678080	1037.452	985.473				
2006/05/16	1106.93	1143.07	1076.46	1091.11	8052426.00	4360353792	1051.948	1004.352				
2006/05/17	1095.64	1125.62	1092.81	1122.88	6210776.00	3556033024	1072.914	1024.343	971.766			
2006/05/18	1102.29	1102.29	1066.24	1086.57	4817719.00	2624286976	1088.236	1040.837	980.526			
2006/05/19	1085.30	1103.99	1080.36	1099.12	4506715.00	2408754944	1099.61	1057.74	989.437			
2006/05/22	1102.08	1123.16	1099.67	1115.04	5529880.00	2903702016	1102.944	1070.198	998.849			
2006/05/23	1122.61	1122.61	1073.90	1074.16	4338460.00	2252119040	1099.554	1075.751	1006.249			
2006/05/24	1076.97	1093.64	1044.66	1068.74	3275256.00	1689053952	1088.726	1080.82	1013.197			
2006/05/25	1070.60	1070.60	1046.81	1061.97	2430167.00	1254397952	1083.806	1086.021	1020.529			
2006/05/26	1062.40	1071.98	1061.73	1069.82	2183164.00	1137289984	1077.946	1088.778	1027.832			
2006/05/29	1073.21	1087.15	1060.65	1087.11	3443286.00	1850982016	1072.36	1087.652	1036.563			
2006/05/30	1091.65	1094.26	1073.42	1092.58	3425991.00	1807910016	1076.044	1087.799	1046.075			
2006/05/31	1092.20	1101.42	1075.41	1082.33	3689719.00	1928024064	1078.762	1083.744	1054.043	1009.092		
2006/06/01	1082.11	1118.73	1082.11	1115.59	5189026.00	2642064896	1089.486	1086.646	1063.741	1015.899		
2006/06/02	1117.98	1120.40	1096.41	1103.17	5084418.00	2745457920	1096.156	1087.051	1072.396	1021.975		
2006/06/05	1101.13	1119.95	1092.71	1119.95	4425519.00	2434572032	1102.724	1087.542	1078.87	1028.414		
2006/06/06	1117.61	1126.07	1111.03	1114.37	3475713.00	1868114944	1107.082	1091.563	1083.657	1034.687		
2006/06/07	1108.74	1108.74	1039.14	1039.14	3804144.00	1969741952	1098.444	1088.603	1084.712	1038.332		
2006/06/08	1035.32	1059.30	1025.68	1056.12	3556743.00	1899161984	1086.55	1088.018	1087.02	1043.025		
2006/06/09	1056.99	1061.30	1032.54	1033.67	2651506.00	1369241984	1072.65	1084.403	1086.59	1046.689		
2006/06/12	1032.17	1041.06	1025.79	1035.69	1703916.00	899776000	1055.798	1079.261	1083.457	1050.795		
2006/06/13	1036.31	1045.44	1029.08	1036.92	1210369.00	629078016	1040.308	1073.695	1080.747	1055.282		
2006/06/14	1036.72	1040.79	1025.28	1040.78	1450044.00	784636032	1040.636	1069.54	1076.642	1059.209		
2006/06/15	1041.07	1048.29	1036.02	1037.93	1076566.00	551124992	1036.998	1061.774	1074.21	1063.086		
2006/06/16	1041.59	1050.28	1038.77	1050.03	1454780.00	751777984	1040.27	1056.46	1071.755	1067.084		
2006/06/19	1041.49	1061.81	1039.07	1059.02	1618813.00	845310976	1044.936	1050.367	1068.954	1069.369		
2006/06/20	1060.93	1066.54	1053.08	1061.09	1567788.00	865921024	1049.77	1045.039	1068.301	1070.784		
2006/06/21	1061.03	1063.63	1051.75	1055.34	1530010.00	831497984	1052.682	1046.659	1067.631	1072.027		
2006/06/22	1055.69	1059.16	1049.42	1050.96	1203677.00	628257024	1055.288	1046.143	1067.08	1073.394		
2006/06/23	1048.75	1053.51	1043.73	1052.48	1290843.00	678665024	1055.778	1048.024	1066.214	1073.735		
2006/06/26	1053.40	1064.55	1051.31	1063.12	1914621.00	1039971008	1056.598	1050.767	1065.014	1072.56		
2006/06/27	1064.97	1067.80	1057.40	1066.15	1644859.00	873347008	1057.61	1053.69	1063.693	1071.728		
2006/06/28	1066.01	1078.16	1060.98	1076.33	1978157.00	1047745984	1061.808	1057.245	1063.392	1070.176		
2006/06/29	1077.39	1103.71	1077.39	1103.71	3644983.00	1944669056	1072.358	1063.823	1062.798	1070.748		
2006/06/30	1119.14	1128.36	1102.25	1108.28	3621297.00	1935811072	1083.518	1069.648	1063.054	1071.053		
2006/07/03	1112.27	1114.60	1100.73	1114.60	2247192.00	1199597952	1093.814	1075.206	1062.786	1071.038		
2006/07/04	1116.01	1118.71	1098.78	1102.84	2740236.00	1469917056	1101.152	1079.381	1062.21	1071.994		
2006/07/05	1101.79	1101.79	1076.33	1089.73	2319969.00	1244534016	1103.832	1082.82	1064.74	1072.694		
2006/07/06	1091.49	1107.88	1090.29	1107.46	2704057.00	1432264960	1104.582	1088.47	1067.307	1074.21		
2006/07/07	1109.18	1110.79	1095.14	1096.73	2361208.00	1308866048	1102.272	1092.895	1070.459	1075.107		
2006/07/10	1095.02	1097.80	1085.53	1097.31	1644997.00	855232000	1098.814	1096.314	1073.541	1075.447		
2006/07/11	1098.18	1098.78	1088.66	1097.37	2074290.00	1089378048	1097.72	1099.436	1076.563	1075.607		
2006/07/12	1098.12	1101.49	1092.97	1095.72	2605113.00	1372438016	1098.918	1101.375	1079.31	1076.053	1042.573	
2006/07/13	1096.06	1096.06	1044.58	1044.58	3226563.00	1633479936	1086.342	1095.462	1079.642	1073.686	1044.793	
